,yccM
Cr_1,0.0005756959719480145
Cr_2,0.0013397960812845124
Cr_3,0.008408614855313615
Cr_4,0.012135196633325357
Cr_5,0.01543239091135984
Cr_6,0.013325892808123487
Fe_1,-0.006741385567328319
Fe_2,-0.015878488598092128
Fe_3,-0.028415639950541013
Fe_4,-0.042743102222603864
Fe_5,-0.052238541053994655
Fe_6,-0.05880134523491309
Cd_1,0.0004461305903268217
Cd_2,0.0010084846756719225
Cd_3,0.004104242459625118
Cd_4,0.00935978534392321
Cd_5,0.007671477034533302
Cd_6,0.011505480937256314
Zn_1,-0.00401587728375863
Zn_2,-0.0026624376010929056
Zn_3,0.01035748665745497
Zn_4,0.019667510508655697
Zn_5,0.0305034853746586
Zn_6,0.04558291730404014
Cu_1,0.01042817829785488
Cu_2,0.0187700590809943
Cu_3,0.02658728157674113
Cu_4,0.03443126074835018
Cu_5,0.04380827586785435
Cu_6,0.051164067260411616
Pb_1,-0.006421437854867378
Pb_2,-0.014456835030325991
Pb_3,-0.023076413570446663
Pb_4,-0.024031838383145696
Pb_5,-0.027586882285568787
Pb_6,-0.037580173725305255
