,USA300HOU_RS03755
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,7.1025251201
USA300_LAC_U01-Set001_CAMHB_Control_1,6.7032361709
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,6.4959190059
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,6.4558883847
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,6.7930112407
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,6.889011568
USA300_LAC_U01-Set001_CAMHB_Control_2,6.5794905497
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,6.5042272894
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,6.4337302491
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,6.8494512408
USA300_TCH1516_U01-Set000_CAMHB_Control_1,6.7437694304
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,6.2429527167
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,6.461864866
USA300_LAC_U01-Set001_R10LB_PreCulture_1,7.8862699742
USA300_LAC_U01-Set001_R10LB_PreCulture_2,7.4314127974
USA300_LAC_U01-Set001_R10LB_Control_1,8.9427792978
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,8.6228503946
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,8.5814712675
USA300_LAC_U01-Set001_R10LB_Control_2,8.9983284825
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,8.6304331527
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,8.4926447878
USA300_TCH1516_U01-Set000_R10LB_Control_1,8.4462931413
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,8.6181857105
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,8.484897341
USA300_TCH1516_U01-Set000_R10LB_Control_2,7.9781654435
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,8.4822145126
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,8.5963116238
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,7.0431205837
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,6.8772116443
USA300_TCH1516_U01-Set000_CAMHB_Control_2,6.6720176683
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,6.4293750349
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,6.3322677714
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,6.5798057718
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,6.6267923194
USA300_LAC_U01-Set004_CAMHB_Control_1,6.5769042648
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,6.9312626227
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,7.1646622917
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,8.1798486188
USA300_LAC_U01-Set004_CAMHB_Control_2,6.9063949017
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,7.0484189249
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,7.3110177788
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,8.1742109797
USA300_LAC_U01-Set004_R10LB_Control_1,8.0516806711
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,8.4199092256
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,8.2846309694
USA300_LAC_U01-Set004_R10LB_Control_2,7.9660226206
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,8.4986859132
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,8.4300801513
USA300_TCH1516_U01-Set003_CAMHB_Control_2,6.8177394651
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,6.8545922843
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,6.8138175481
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,6.5269303101
USA300_TCH1516_U01-Set003_CAMHB_Control_3,6.892356537
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,6.9221362912
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,6.6928462942
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,6.5791934583
USA300_LAC_ICA-Set001_R10LB_Control_1,8.6341803457
USA300_LAC_ICA-Set001_R10LB_Control_2,8.7319769347
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,9.1542865849
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,9.0548039323
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,9.5697551184
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,9.5776638312
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,6.5716899455
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,6.9048049576
USA300_TCH1516_BK-Set001_THB_Control_1,6.6054087939
USA300_TCH1516_BK-Set001_THB_Control_2,6.5996730867
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,6.7120236477
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,6.4481877882
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,6.8202072387
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,7.0055591938
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,6.1360226647000005
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,6.6511136843
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,7.1411720582000004
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,7.1335942072
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,7.1379177957
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,7.0296040234
USA300_LAC_ICA-Set002_CAMHB_Control_1,6.8099142078
USA300_LAC_ICA-Set002_CAMHB_Control_2,6.8161578689
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,8.8419967115
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,8.6228154162
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,6.5675026135
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,6.6265072271
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,7.1275815713
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,6.9489536983
USA300_SNFM1_ICA-Set002_R10LB_Control_1,6.8824497195
USA300_SNFM1_ICA-Set002_R10LB_Control_2,6.7616174173
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,7.0869423081
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,7.0344192425
USA300_SNFR19_ICA-Set002_R10LB_Control_1,8.1308850622
USA300_SNFR19_ICA-Set002_R10LB_Control_2,7.8912578531
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,6.5659895176
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,6.4907779541
USA300_TCH1516_ICA-Set002_R10LB_Control_1,6.0609724619
USA300_TCH1516_ICA-Set002_R10LB_Control_2,5.996978316
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,6.3678468909
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,8.795243299
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,6.4606832124
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,8.6138997917
USA300_TCH1516_ICA-Set003_250nMParaquat_1,7.3473097932
USA300_TCH1516_ICA-Set003_250nMParaquat_2,7.0696953113
USA300_TCH1516_ICA-Set003_2gLGalactose_1,6.9582591235
USA300_TCH1516_ICA-Set003_2gLGalactose_2,7.0637453445
USA300_TCH1516_ICA-Set003_2gLPyruvate_1,6.6967356802
USA300_TCH1516_ICA-Set003_2gLPyruvate_2,6.6538665308
USA300_TCH1516_ICA-Set003_Control_1,7.3918871679
