,yheS
Cr_1,0.0023413029106053684
Cr_2,0.007856475893735483
Cr_3,0.00951234678238506
Cr_4,0.010181758817750831
Cr_5,0.011888786045588507
Cr_6,0.01476598994209046
Fe_1,-0.010173238855137368
Fe_2,-0.020627323778493547
Fe_3,-0.023428068105931604
Fe_4,-0.032002360441767984
Fe_5,-0.03917940241896237
Fe_6,-0.04611746211966185
Cd_1,0.0027778303830154863
Cd_2,0.006748486425011499
Cd_3,0.009146543312443587
Cd_4,0.010651001758273116
Cd_5,0.00549679726372487
Cd_6,0.00944004083955845
Zn_1,-0.0048034199535966545
Zn_2,-0.007383912811426689
Zn_3,-0.008018585389860377
Zn_4,-0.006113927843084925
Zn_5,-0.003981621455525641
Zn_6,-0.002606260284834963
Cu_1,0.004243937755972969
Cu_2,0.013243111014564341
Cu_3,0.020866359342298357
Cu_4,0.0251651261868142
Cu_5,0.029716145668995345
Cu_6,0.04262122335767534
Pb_1,-0.002055078894428929
Pb_2,0.0015758285507898658
Pb_3,0.003648080119403792
Pb_4,0.014073551244294566
Pb_5,0.02079237678805146
Pb_6,0.029683040764740987
