,ybiM
Cr_1,0.00315698284830904
Cr_2,0.006740796913659705
Cr_3,0.0065315120671065345
Cr_4,-0.006642955719788272
Cr_5,-0.0008288840866911346
Cr_6,0.011091792604034274
Fe_1,-0.055939584657870176
Fe_2,-0.11341602685562438
Fe_3,-0.12072161574825313
Fe_4,-0.12709281329765726
Fe_5,-0.1463975352372656
Fe_6,-0.13252789695504907
Cd_1,0.004071354456226415
Cd_2,0.003329399169911077
Cd_3,0.005311108823438388
Cd_4,0.008366260149829418
Cd_5,0.021274814041816564
Cd_6,0.04017035763630582
Zn_1,-0.03857901441102863
Zn_2,-0.07865066506844204
Zn_3,-0.05289288085347784
Zn_4,-0.05941812070104827
Zn_5,-0.04617570281180658
Zn_6,-0.056194897713199035
Cu_1,0.02283530198419529
Cu_2,0.03537790870326206
Cu_3,0.04127394799507714
Cu_4,0.05218807320039595
Cu_5,0.0526699129031476
Cu_6,0.059219014667492964
Pb_1,-0.00031509131849692874
Pb_2,0.009111932244400722
Pb_3,0.03099104494028052
Pb_4,0.05366661268928973
Pb_5,0.05662599589138283
Pb_6,0.047476186612316944
