,BSU_misc_RNA_2
LBexp_1,14.6414
LBexp_2,14.5991
LBexp_3,14.2535
LBtran_1,14.7273
LBtran_2,14.5043
LBtran_3,14.5803
LBstat_1,15.7066
LBstat_2,15.8035
LBstat_3,16.3779
LBGexp_1,14.6864
LBGexp_2,14.681000000000001
LBGexp_3,14.8681
LBGtran_2,13.9891
LBGtran_3,14.3387
LBGstat_1,14.858
LBGstat_2,14.6438
LBGstat_3,14.0721
S0_1,15.2857
S0_2,14.3799
S0_3,15.1519
S1_1,15.270199999999999
S1_2,16.354
S1_3,14.9185
S2_1,15.155
S2_2,14.8195
S2_3,15.4964
S3_1,15.8598
S3_2,14.9652
S4_1,15.4526
S4_2,15.7248
S4_3,16.0958
S5_1,15.8829
S5_2,15.4862
S5_3,15.8949
S6_1,15.9667
S6_2,16.3764
S6_3,15.5565
S6/t_1,16.4531
S6/t_2,16.3987
S6_4,15.9611
S6_5,16.4002
S6_6,16.4574
S7_4,16.3952
S7_5,16.3757
S7_6,16.3677
S8_4,16.3118
S8_5,16.4097
G135_1,15.874600000000001
G135_3,16.0384
G150_1,15.6294
G150_2,16.3676
G150_3,15.542300000000001
G180_1,15.4292
G180_2,15.9736
G180_3,15.3873
C30_1,15.0945
C30_2,15.7972
C90_1,15.6715
C90_2,15.4098
BI_1,15.3922
BI_2,15.4724
BC_2,16.386
BC/t_1,16.403
BC/t_2,16.4282
BC_1,15.387
Sw_1,16.1963
Sw_2,16.4436
BT_1,16.1091
BT_2,15.2884
B36_1,16.4466
B36_2,16.1711
B60_1,16.4142
B60_2,16.444
M9exp_1,14.7546
M9exp_2,14.4139
M9exp_3,14.2602
M9tran_1,14.5508
M9tran_2,14.4077
M9tran_3,14.5895
M9stat_1,15.1225
M9stat_2,15.4634
M9stat_3,15.3403
M+G_1,13.9783
M+G_2,14.98
M+G_3,15.6114
Glu_1,14.7968
Glu_2,16.2712
Glu_3,15.7686
Fru_1,16.4435
Fru_2,16.4238
Fru_3,15.2129
Mal_1,15.4412
Mal_2,16.0197
Mal_3,15.5848
G+S_2,16.3496
G+S_3,15.9837
Pyr_1,15.5365
Pyr_2,16.3654
Pyr_3,15.6727
Gly_1,15.5942
Gly_2,16.1654
Gly_3,15.7842
Glucon_1,14.658
Glucon_2,15.4512
Glucon_3,14.3098
aero_1,16.0678
aero_2,14.794
aero_3,15.4509
nit_1,16.0184
nit_2,16.4028
nit_3,15.1776
ferm_1,14.9968
ferm_2,15.3587
ferm_3,15.6953
T-5.40H_1,15.0449
T-4.40H_1,15.6491
T-3.40H_1,15.24
T-2.40H_1,14.8266
T-1.40H_1,14.9194
T-1.10H_1,16.2401
T-0.40H_1,15.3235
T0.0H_1,14.9571
T0.30H_1,16.3692
T1.0H_1,16.3622
T1.30H_1,16.3939
T2.0H_1,16.0712
T2.30H_1,16.3307
T3.0H_1,16.1839
T3.30H_1,16.3724
T4.0H_1,16.3111
T5.0H_1,16.4095
HPh_1,16.2336
HPh_2,15.3865
HPh_3,16.1658
LPh_1,15.3933
LPh_2,16.1676
LPh_3,15.5249
LPhT_1,16.118
LPhT_2,16.144
LPhT_3,16.3787
SMMPr_1,14.627
SMMPr_2,14.8554
SMMPr_3,15.253
HiTm_1,15.4759
HiTm_2,15.1914
HiTm_3,15.4074
LoTm_1,15.6825
LoTm_2,15.3737
LoTm_3,15.2845
HiOs_1,15.4334
HiOs_2,16.3778
HiOs_3,15.9514
BMM_1,14.0349
BMM_2,14.2063
BMM_3,14.3433
Heat_1,15.0936
Heat_2,14.8619
Heat_3,14.1394
Cold_1,14.6342
Cold_2,14.3681
Cold_3,13.568
Etha_1,15.3844
Etha_2,14.0853
Etha_3,14.7076
SMM_1,14.4556
SMM_2,14.5455
SMM_3,14.3371
Salt_1,14.7655
Salt_2,14.2701
Salt_3,14.1713
Mt0_1,15.6449
Mt0_3,14.8493
M0t45_1,15.4839
M0t45_2,14.705400000000001
M0t45_3,14.9308
M0t90_1,14.0416
M0t90_2,16.341
M0t90_3,14.5838
M40t45_1,14.2613
M40t45_2,15.4516
M40t45_3,14.7887
M40t90_1,14.7751
M40t90_2,15.5035
M40t90_3,15.2273
dia0_1,14.7599
dia0_2,14.7137
dia0_3,14.4678
dia5_1,14.7573
dia5_2,14.4365
dia5_3,14.0268
dia15_1,14.338799999999999
dia15_2,15.0836
dia15_3,14.1164
Diami_1,14.9189
Diami_2,14.6422
Diami_3,14.5168
Paraq_1,15.3892
Paraq_2,15.5215
Paraq_3,13.2666
H2O2_1,14.3775
H2O2_2,14.9626
H2O2_3,14.6145
Oxctl_1,14.327
Oxctl_2,14.7305
Oxctl_3,15.4884
GM-0.1_1,14.8813
GM-0.2_1,14.2874
GM+5_1,14.4701
GM+15_1,14.8882
GM+25_1,15.1122
GM+45_1,14.9895
GM+60_1,14.8156
GM+90_1,14.9261
GM+120_1,13.8273
GM+150_1,14.537700000000001
GM-0.1_2,15.7181
GM-0.2_2,14.8818
GM+5_2,14.9541
GM+10_2,14.8021
GM+15_2,15.1871
GM+25_2,15.1792
GM+45_2,12.9058
GM+60_2,13.7735
GM+90_2,15.3783
GM+150_2,14.098
GM-0.1_3,15.8861
GM-0.2_3,16.0232
GM+5_3,15.8167
GM+10_3,14.5763
GM+15_3,15.717600000000001
GM+25_3,15.2811
GM+45_3,14.2367
GM+60_3,14.74
GM+90_3,13.8973
GM+120_3,14.5969
GM+150_3,14.3249
MG-0.1_1,14.9699
MG+5_1,16.1587
MG+10_1,16.1938
MG+15_1,15.3496
MG+25_1,15.5182
MG+45_1,15.4355
MG+120_1,14.8601
MG+150_1,14.4765
MG-0.1_2,13.3497
MG-0.2_2,14.926
MG+5_2,14.5334
MG+10_2,15.2046
MG+15_2,15.3372
MG+25_2,14.4912
MG+45_2,14.5975
MG+60_2,14.9586
MG+90_2,14.7024
MG+120_2,14.763300000000001
MG-0.1_3,15.707699999999999
MG-0.2_3,15.3302
MG+5_3,15.2746
MG+10_3,14.1488
MG+15_3,15.4026
MG+25_3,15.0469
MG+45_3,15.5148
MG+60_3,14.8985
MG+90_3,14.9544
MG+120_3,14.3275
MG+150_3,15.603
