,yggM
Cr_1,-0.005926345474279767
Cr_2,-0.012313890183834596
Cr_3,-0.016764537164102287
Cr_4,-0.018748821512474118
Cr_5,-0.02159297705796033
Cr_6,-0.026416582746272017
Fe_1,-0.0010622058120312622
Fe_2,-0.010796067020318179
Fe_3,-0.03532625722379626
Fe_4,-0.0614147547644774
Fe_5,-0.0789912961093894
Fe_6,-0.09595322969877304
Cd_1,0.0031744767657030915
Cd_2,0.0043964176620556366
Cd_3,0.008080260207679733
Cd_4,0.010690865975634088
Cd_5,0.011129924890262316
Cd_6,0.01709735249865123
Zn_1,-0.008359971316073486
Zn_2,-0.013306058281082821
Zn_3,-0.019654034245251868
Zn_4,0.01154605646693688
Zn_5,0.007536790126523345
Zn_6,0.0335488355787918
Cu_1,0.0012221112166601721
Cu_2,0.008312148544030108
Cu_3,0.010576280293355372
Cu_4,0.008687980929562375
Cu_5,0.014841357248395375
Cu_6,0.02275116865948313
Pb_1,-0.0019490546431149027
Pb_2,-0.0028928377155840296
Pb_3,-0.002504413151928457
Pb_4,0.0018610316836352022
Pb_5,0.012956982735608094
Pb_6,0.01038589060979835
