,-0.1121799122579741,-0.08974392980637927,-0.06730794735478444,-0.04487196490318962,-0.022435982451594796,2.7755575615628914e-17,0.022435982451594852,0.04487196490318966,0.0673079473547845,0.08974392980637934,0.11217991225797415,0.13461589470956897,0.1570518771611638,0.17948785961275865,0.20192384206435343,0.22435982451594827,0.2467958069675431,0.26923178941913795,0.2916677718707328,0.31410375432232757
thresh,-0.1233979034837715,0.1233979034837715,7,,,,,,,,,,,,,,,,,
unreg,0,1,2,25,495,2388,411,14,1,1,0,0,0,0,0,0,0,0,0,0
LeuO,0,0,0,0,2,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ppGpp,0,0,0,4,130,586,150,11,6,0,0,0,0,0,0,0,0,0,0,0
Leu-tRNA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LeuO and ppGpp,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ppGpp and Leu-tRNA,0,0,0,0,0,2,5,0,0,0,1,1,0,0,0,0,0,0,0,0
"LeuO, ppGpp, and Leu-tRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
LeuO_genes,[],[],[],[],['cas2' 'casA'],['cas1' 'bglF' 'bglG' 'bglJ' 'casC' 'casD' 'cadC' 'yjjQ' 'bglB' 'yghR'],['yghS'],['gltF'],[],[],[],[],[],[],[],[],[],[],[],[]
