,A,LeuO
R2,,0.13840170852821654
xmin,,-2.433599924
xmid,,
xmax,,3.5373983806632583
ystart,,-6.305421238850981
yend,,5.786947363917076
control__wt_glc__1,-0.2322908333716512,0.040954031000000064
control__wt_glc__2,0.2322908333716427,-0.040954031000000064
fur__wt_dpd__1,6.230586772262192,0.13763053999999994
fur__wt_dpd__2,6.655988797688634,0.08014075399999987
fur__wt_fe__1,-0.0049919229985593,-0.31721743300000016
fur__wt_fe__2,-0.0413823408899434,-0.044441411000000215
fur__delfur_dpd__1,6.03358733275629,0.7272521679999997
fur__delfur_dpd__2,5.072450743317429,0.8956892649999997
fur__delfur_fe2__1,1.4182991004030825,-0.1198699000000003
fur__delfur_fe2__2,1.3589665844017766,-0.22740397800000034
acid__wt_ph5__1,0.0937183055002089,-0.16712914800000034
acid__wt_ph5__2,0.2265034305847473,-0.23619301800000025
acid__delgadx_ph5__2,-0.1301879824316518,-0.15811703800000032
acid__delgadw_ph5__1,0.151234030491265,-0.3368865010000004
acid__delgadw_ph5__2,0.0854384821475199,-0.07592660400000018
acid__delgade_ph5__1,0.4584863313859827,0.14740076999999996
acid__delgade_ph5__2,0.286065916853954,-0.16790972400000026
oxidative__wt_pq__1,12.368930640632524,-0.6767043490000004
oxidative__wt_pq__2,12.113895253862578,-0.8838247300000002
oxidative__deloxyr_pq__1,11.101714558279516,-0.18730031100000044
oxidative__deloxyr_pq__2,11.05750311531072,-0.4017994440000003
oxidative__delsoxr_pq__1,13.386288043383194,-0.2489565920000003
oxidative__delsoxr_pq__2,13.137375486703752,-0.2463043800000002
oxidative__delsoxs_pq__1,12.77463637598703,-0.44925657100000027
oxidative__delsoxs_pq__2,12.796398321201046,-0.4670372530000004
nac_ntrc__wt_csn__1,4.100525720753801,1.1551845479999998
nac_ntrc__wt_csn__2,4.067674395908204,1.1125230709999996
nac_ntrc__wt_cytd__1,0.3471419668429707,0.36235990299999976
nac_ntrc__wt_cytd__2,0.7825888187971937,0.2662531919999997
nac_ntrc__wt_gln__1,-0.3506121216880437,1.3732829229999997
nac_ntrc__wt_gln__2,0.3877094773762908,1.2913290899999996
nac_ntrc__bw_delnac_csn__1,1.5113737486746857,0.37202483
nac_ntrc__bw_delnac_csn__2,1.0178319712605952,0.241428542
nac_ntrc__bw_delnac_cytd__1,0.4071491087698976,0.009958304999999612
nac_ntrc__bw_delnac_cytd__2,0.6965736416518375,0.2684711860000002
nac_ntrc__bw_delnac_gln__1,-1.9001700723763733,-0.3879105860000003
nac_ntrc__bw_delnac_gln__2,-1.3756378062095775,0.3007168459999998
nac_ntrc__bw_delnac_nh4__1,1.1405360391274564,-0.07479838800000005
nac_ntrc__bw_delnac_nh4__2,1.3295096783455254,-0.006636231999999964
misc__wt_no_te__1,1.9487849779049784,0.3926350739999993
misc__wt_no_te__2,0.2585008851578535,-0.07242246400000019
misc__bw_delcbl__1,1.971461761898743,-0.20864072200000014
misc__bw_delcbl__2,2.501124709965959,0.01404110699999972
misc__bw_delfabr__1,1.483591680267547,-1.0741585770000002
misc__bw_delfabr__2,1.3118473927959855,-0.4614802870000001
misc__bw_delfadr__1,1.6979351300212795,-0.06692136600000033
