,ybgI
Cr_1,0.006079382204982346
Cr_2,0.007038774147450292
Cr_3,0.01136610364070907
Cr_4,0.018010689081648924
Cr_5,0.018921047459190446
Cr_6,0.022036240086423613
Fe_1,-0.02770787367335071
Fe_2,-0.07168960277716595
Fe_3,-0.11198575561587
Fe_4,-0.15184667278429584
Fe_5,-0.1813390268077402
Fe_6,-0.21118984096134424
Cd_1,-0.0036719974683511727
Cd_2,-0.008053477115965369
Cd_3,-0.014515862398551004
Cd_4,-0.02159381116398557
Cd_5,-0.030943114774101683
Cd_6,-0.030172154808543083
Zn_1,-0.04994139724064818
Zn_2,-0.08863339027427397
Zn_3,-0.11253026631308938
Zn_4,-0.10874066939778863
Zn_5,-0.11061373537656467
Zn_6,-0.10774703892643908
Cu_1,-0.0003589324606093704
Cu_2,-0.001980241755897634
Cu_3,-0.001794017703634416
Cu_4,-0.002954880699975381
Cu_5,-0.0049508215825973785
Cu_6,-0.0006301849752680192
Pb_1,0.0008106661281873383
Pb_2,-0.0010569692260223131
Pb_3,0.0059143151058080965
Pb_4,0.004949130324414401
Pb_5,0.014235698487380837
Pb_6,0.02451218441447326
