,A,AhrC,YlxR
R2,,0.07252664842284873,0.008613528750198274
xmin,,9.0497,9.2989
xmid,,10.397009348131983,
xmax,,13.1831,15.8289
ystart,,-3.807589647551225,-2.8032335788726854
yend,,-17.030580838081526,-10.435707195325696
LBexp_1,-21.8771985166,12.2089,14.9341
LBexp_2,-22.7112149062,11.6336,14.4882
LBexp_3,-22.2398438516,11.3407,14.406
LBtran_1,-23.0958391486,11.1495,12.3517
LBtran_2,-23.7170126742,10.5491,13.5353
LBtran_3,-22.4671237047,10.6316,13.894
LBstat_1,-23.5977110841,10.8931,13.1969
LBstat_2,-22.0628258638,10.5421,13.2104
LBstat_3,-21.0429779259,10.2258,13.0446
LBGexp_1,-21.1278158406,12.2388,15.2092
LBGexp_2,-19.2104764459,12.1913,15.0027
LBGexp_3,-20.6087880488,12.0207,15.2585
LBGtran_2,-21.7239003806,10.9219,13.5566
LBGtran_3,-22.0290663659,11.7038,14.2736
LBGstat_1,-21.5830739773,10.8396,15.223
LBGstat_2,-21.8026504419,10.623,14.8524
LBGstat_3,-20.0528407956,10.7183,13.7207
S0_1,-13.074674644,11.0569,14.3055
S0_2,-15.0532874036,11.2647,14.6733
S0_3,-15.4353609311,11.0246,14.7261
S1_1,9.9672777995,11.082,13.9627
S1_2,9.7345465462,10.9183,13.8021
S1_3,10.4408348482,11.3857,14.0723
S2_1,3.742563873,10.7409,13.4851
S2_2,7.2864320759,10.6686,13.505
S2_3,7.1853383115,10.4692,13.3714
S3_1,-3.3258279054,11.136,13.8627
S3_2,3.7165653168,11.3374,13.9351
S4_1,4.1063163463,11.4502,14.1632
S4_2,1.8106063190000001,10.9111,13.7823
S4_3,2.7171177009000003,10.796,13.4703
S5_1,2.6668688788,10.9955,13.2724
S5_2,2.4354708411,11.2159,13.809
S5_3,2.8545053115,11.4169,13.7201
S6_1,8.5634817249,10.3089,12.7193
S6_2,8.8344385946,9.6699,9.9195
S6_3,6.8454549866,10.3147,12.7501
S6/t_1,6.7482585857,10.2188,12.4161
S6/t_2,6.003843559,9.0497,9.2989
S6_4,4.2588219637,9.9225,12.4217
S6_5,5.0076230476,10.4948,13.0137
S6_6,5.4484823082,10.5444,13.1474
S7_4,0.43058237590000004,10.4378,12.7262
S7_5,0.7201732024,10.2391,12.2686
S7_6,0.0198156863,10.397,12.8788
S8_4,-2.0517817737,9.76,12.0624
S8_5,-3.8022857276,9.6712,10.5793
G135_1,-19.3555533722,12.6802,15.289
G135_3,-17.7227286413,10.692,13.4982
G150_1,-21.4026270681,11.9272,14.894
G150_2,-20.8110192097,12.6917,15.502
G150_3,-21.4835532515,12.5275,15.4269
G180_1,-20.4853592023,12.391,15.3325
G180_2,-21.6556167361,12.9619,15.3193
G180_3,-18.6749365183,11.3013,14.2666
C30_1,-21.7636215138,11.1443,14.1009
C30_2,-21.1054243975,11.3361,14.3475
C90_1,-23.2133290311,11.0417,12.5758
C90_2,-23.8809033759,11.4518,13.211500000000001
BI_1,-24.8041478839,11.5951,14.1764
BI_2,-24.0316237643,11.7851,14.3617
BC_2,-19.1468754609,12.0452,13.8757
BC/t_1,-19.4156051211,11.1999,12.992
BC/t_2,-20.04858218,11.7632,13.3786
BC_1,-19.1090937044,11.3098,13.1537
Sw_1,-18.6798762787,11.292,12.6206
Sw_2,-17.0819609134,12.0995,13.521
BT_1,-2.7184381189,9.8125,13.3801
BT_2,-3.5886570745,9.3651,12.7648
B36_1,0.2554717386,11.05,13.6529
B36_2,0.6859312704,10.7989,13.625
B60_1,-11.3808729743,11.1664,13.5911
B60_2,-11.3189364253,11.154,13.4118
M9exp_1,0.35344173370000004,12.0,15.0718
M9exp_2,-0.1238541098,11.6022,14.6658
M9exp_3,-0.2295876239,11.3148,14.443200000000001
M9tran_1,-4.4769051053,11.1304,14.1775
M9tran_2,-3.6943699932,11.0574,14.1516
M9tran_3,-2.7465095112,11.3532,14.3392
M9stat_1,-15.6433330081,9.7096,11.664
M9stat_2,-14.7974624375,9.5944,11.1227
M9stat_3,-14.9295641962,9.547,11.1044
M+G_1,-3.6711127928,10.9527,14.4395
M+G_2,-1.1237832553,11.3743,14.2189
M+G_3,-1.8349716657,11.0648,13.9851
Glu_1,-1.4149843676,11.8962,14.5005
Glu_2,0.6054040419,11.8964,14.5787
Glu_3,0.9227882749,11.7493,14.7641
Fru_1,1.9900430963,11.5945,14.3263
Fru_2,-0.3878203357,11.6079,14.4986
Fru_3,-1.0228334988,10.9594,13.9626
Mal_1,-1.5074492826,10.5995,13.8389
Mal_2,-1.9105605397,11.0278,13.7121
Mal_3,-1.0062614061,11.3075,14.3774
G+S_2,-4.4427375928,10.809,13.4963
G+S_3,-2.0768632327,11.1145,14.0582
Pyr_1,-5.2514281485,10.600999999999999,13.2789
Pyr_2,-3.8700736266,11.0792,13.6403
Pyr_3,-3.8913995206000003,10.9129,13.5139
Gly_1,0.3125246947,10.1189,13.2623
Gly_2,0.8180448530000001,10.6721,14.1245
Gly_3,-3.030823545,9.331,12.0551
Glucon_1,-2.7277994597,10.7334,13.5325
Glucon_2,-1.6636387321,11.212,13.956
Glucon_3,-2.560312697,10.5031,13.0211
aero_1,2.8539869101,12.1485,15.0222
aero_2,-10.0073268208,10.8428,14.2723
aero_3,-11.1191206983,11.9552,15.1176
nit_1,-9.8553072841,11.2739,14.2668
nit_2,-8.9231512898,11.3197,14.6119
nit_3,-10.6234793268,11.2221,14.2218
ferm_1,-5.188877005,11.0898,14.2882
ferm_2,-4.2297742013,11.0512,14.352
ferm_3,-6.5286355123,11.647,14.5733
T-5.40H_1,-2.9194672057,12.0816,14.8694
T-4.40H_1,-4.3575486252,11.7956,14.6523
T-3.40H_1,-3.1595739204,11.6258,14.5934
T-2.40H_1,-3.6931294476,11.4187,14.3217
T-1.40H_1,-1.1825891959,11.2895,14.2834
T-1.10H_1,0.9456257715,11.5519,14.0511
T-0.40H_1,0.9717575948,11.3183,14.0773
T0.0H_1,0.2643383835,11.1014,13.9595
T0.30H_1,3.2782143217,10.2674,11.7637
T1.0H_1,1.5808797548,10.1937,12.0844
T1.30H_1,-2.4498462349,10.2309,12.1467
T2.0H_1,-3.5005371944,10.2433,12.2623
T2.30H_1,3.0217406293,11.035,13.3458
T3.0H_1,2.4834720324,10.6909,13.0816
T3.30H_1,2.7709516914,11.1008,13.5294
T4.0H_1,3.6226344834,11.071,13.3832
T5.0H_1,0.7479027490000001,10.6287,12.862
HPh_1,-23.8879371221,11.9186,14.7736
HPh_2,-24.2319356601,11.511800000000001,14.6174
HPh_3,-24.0075302588,11.4991,14.4818
LPh_1,-23.3763978205,11.9157,14.8785
LPh_2,-23.120413159,12.4683,15.2857
LPh_3,-22.9775123887,11.8076,15.1274
LPhT_1,-22.0317636685,10.9814,12.8001
LPhT_2,-22.1230100478,10.952,12.9853
LPhT_3,-22.4957289275,10.8516,13.3139
SMMPr_1,-4.0191099805,11.0254,14.1465
SMMPr_2,-4.0202757367,11.1618,14.1874
SMMPr_3,-3.4780348914,11.2475,14.4328
HiTm_1,-3.1700264382,11.1025,14.1824
HiTm_2,-2.5440102795,11.6242,13.9947
HiTm_3,-10.060948782,11.594899999999999,13.8464
LoTm_1,-5.0239202951,12.0776,15.1863
LoTm_2,-3.5176413966,11.6951,14.9151
LoTm_3,-3.5868637295,11.7113,14.8158
HiOs_1,-4.1954811894,11.6977,14.1905
HiOs_2,-5.0611407804,11.4657,13.8564
HiOs_3,-5.1593952123,11.5876,14.0098
BMM_1,3.3415205513,11.8768,14.6943
BMM_2,3.3970405699,11.663499999999999,14.5095
BMM_3,-0.5244311475,12.0816,14.5069
Heat_1,-10.3518697035,12.8625,14.4826
Heat_2,-8.9856507436,12.4,13.9951
Heat_3,-9.0605930582,11.8771,13.8329
Cold_1,-12.2147634986,12.3287,15.8289
Cold_2,-14.4937082732,11.2922,15.136
Cold_3,-14.6940892746,10.7201,14.4257
Etha_1,-13.7297992166,10.7607,11.3009
Etha_2,-11.5718423054,10.345,10.8083
Etha_3,-10.9437639338,10.7416,11.4443
SMM_1,-1.3313833370000001,11.5326,14.3668
SMM_2,-1.6888174138,11.4175,14.2871
SMM_3,-1.0539068899,11.4831,14.1121
Salt_1,-17.5743045936,12.0256,14.4524
Salt_2,-18.0209321622,11.8361,14.1044
Salt_3,-17.2087114113,11.9635,14.2548
Mt0_1,-22.5328978329,11.6866,14.5657
Mt0_3,-22.1292374915,12.1911,14.8129
M0t45_1,-22.4199688086,10.844100000000001,14.1166
M0t45_2,-21.8276558313,11.745,14.9426
M0t45_3,-23.5933983125,11.4314,14.4477
M0t90_1,-20.8843313646,10.1688,11.8216
M0t90_2,-24.3219674537,11.2927,13.1761
M0t90_3,-22.9567932338,10.8337,12.0893
M40t45_1,-21.3791380371,10.8034,14.0036
M40t45_2,-23.299261974,11.0314,12.7819
M40t45_3,-23.4823500227,11.5995,14.5869
M40t90_1,-21.3279846109,10.2876,12.0142
M40t90_2,-23.5919826048,10.9574,12.8639
M40t90_3,-22.3295023338,10.9459,12.2481
dia0_1,-22.8652876773,11.5319,14.595
dia0_2,-21.4346279367,11.8184,14.787
dia0_3,-21.8848256127,12.1953,15.1002
dia5_1,-24.6476582064,10.9068,13.5166
dia5_2,-23.6125515153,11.2226,13.3001
dia5_3,-23.576051846,11.2344,13.5496
dia15_1,-24.8835029112,12.5003,14.231
dia15_2,-24.7362501238,12.9587,14.6293
dia15_3,-19.2853128842,11.8723,13.4522
Diami_1,-21.1028951648,10.8917,13.6073
Diami_2,-22.5231651151,11.4116,14.2988
Diami_3,-21.7191779729,11.3908,14.2263
Paraq_1,-21.5712753776,12.3221,15.0882
Paraq_2,-22.7343473283,12.7902,15.2737
Paraq_3,-21.1200708145,11.3578,14.0572
H2O2_1,-23.6582040904,12.9568,14.8067
H2O2_2,-25.2811602072,13.1831,14.9584
H2O2_3,-24.7613944163,12.9119,14.7247
Oxctl_1,-18.8595190304,11.7903,14.7823
Oxctl_2,-19.6313266189,11.804,14.8263
Oxctl_3,-22.3737804993,12.6147,15.2875
GM-0.1_1,-2.3801426624,11.4268,14.0852
GM-0.2_1,-1.9965129375,11.318,14.2152
GM+5_1,-3.2282311971,11.0786,13.9479
GM+15_1,-3.9471024436,11.7409,14.2308
GM+25_1,2.6754766541,11.9682,15.0861
GM+45_1,-1.2334635785999999,11.914,14.6143
GM+60_1,-0.7365629729000001,11.642,14.4913
GM+90_1,-0.0910517876,11.9161,14.7345
GM+120_1,-1.5626310639,10.7933,13.9078
GM+150_1,-1.6413682662,11.193,14.2751
GM-0.1_2,0.5205430786,11.7311,14.657
GM-0.2_2,-0.6004789866,11.8958,14.532
GM+5_2,-4.2416470808,11.5792,14.246
GM+10_2,-7.2343887623,11.4715,14.3852
GM+15_2,-8.5062079085,11.3956,13.8623
GM+25_2,3.4952198227,11.4943,14.5588
GM+45_2,-0.12932825280000002,10.9341,13.6024
GM+60_2,-1.3208526874,10.785,13.4632
