,A,McbR,hns
R2,,0.500373798152703,0.036765892156775726
xmin,,-4.6100117509,-11.2828757996
xmid,,-2.634915475618317,
xmax,,4.6143483356,2.8974495703
ystart,,-4.545924266628234,7.193866932043291
yend,,9.057105969471005,-1.5364998634697429
SRX1125282,-0.2979124734,0.7426376383000001,-0.0832222629
SRX1125283,1.0964570174,0.1477373912,-0.0215977273
SRX1125284,0.6122458424,-0.1391487069,0.014475031800000001
SRX1125285,0.6157180377,-0.2527034235,-0.069698208
SRX1125286,1.0360188036,0.5461294136,-0.28960489710000004
SRX1125287,1.1129275423,1.1888812703,-0.2321548066
SRX1125288,0.2284876989,0.5627010326,-0.0482583698
SRX1125289,1.8828973619,-0.0945048367,-0.2218292502
SRX1125290,0.4491101744,-0.3748516219,-0.0773807522
SRX1125291,0.8463229542,0.3626414509,-0.0678102107
SRX1125292,1.2500074428999999,0.9436624118,-0.1422065635
SRX1125293,1.3689487046,1.763556659,0.2490992528
SRX1125294,0.06942477450000001,-1.3053386708999999,0.13148063270000002
SRX1125295,1.139720706,0.23542013420000002,0.2910135497
SRX1125296,0.9734188843,0.0158711478,0.1734109775
SRX1125297,1.1572379082,0.2600515372,0.28443055370000003
SRX1125298,0.0218435552,0.7220334837,0.0742654028
SRX1125299,1.0860341817,1.7085064664,0.23033813420000002
SRX5694250,-0.7624789593,0.0,-1.3295713452
SRX5694251,0.0160241653,0.0,0.6661338201
SRX5694252,-2.0438735572,0.0,-1.732107911
SRX5694253,1.3767657658,0.0,0.16751679260000002
SRX5694254,4.6733910661,0.0,-0.3087090213
SRX5694255,1.9786511098,0.0,-1.4290721084
SRX5694256,-0.7710983324,0.0,-0.1462527268
SRX5694257,-0.0943301171,0.0,-0.641073463
SRX5694258,0.306093332,0.0,-0.0725217448
SRX5694259,1.0465820735,0.0,0.4503702694
SRX5694260,-2.0994120058,0.0,0.1739432252
SRX5694261,0.6352081399,0.0,-0.6767263614
SRX5694262,-5.7314619574,0.0,-1.031702481
SRX5694263,-1.0324864609,0.0,0.14700628870000002
SRX5694264,-0.169124921,0.0,-0.41701238430000004
SRX5694265,-1.053316263,0.0,-0.1614027818
SRX5694267,1.1659997269,0.0,0.3006681781
SRX5694268,-2.1221916482,0.0,-0.0815327794
SRX5694269,-0.45783629540000004,0.0,0.0328928135
SRX5694271,-0.7708653263,0.0,-0.10642851340000001
SRX5694273,-3.0671831294,0.0,0.6464433037
SRX5694274,-2.1688126883,0.0,-0.0005954383
SRX5694275,-4.5867379252,0.0,-0.7840740106
SRX5694276,0.6502419135,0.0,0.7946358242
SRX5694277,-2.8626662137,0.0,-0.3573271824
SRX5694278,-1.8383954683,0.0,1.536242647
SRX5694279,0.32801811680000004,0.0,-0.206662584
SRX5694280,1.2643062087999999,0.0,0.48643795360000003
SRX5694281,-1.4442333345,0.0,-0.5867027299
SRX5694282,-1.8015301222,0.0,1.5495831874000001
SRX5694283,1.3112276535,0.0,0.5062316505
SRX5694284,1.0834543742,0.0,0.2590986018
SRX5694285,-1.9172076249,0.0,0.0087843152
SRX5694286,-3.1202293593,0.0,-0.3992162387
SRX5694287,1.9197890654,0.0,0.8313039999
SRX5694288,-1.3061448995,0.0,-0.45174707410000003
SRX5694289,2.0808597823,0.0,0.46102281510000004
SRX5694290,-0.5799034863,0.0,-0.39522827390000004
SRX5694291,2.3411454926,0.0,-1.3338308134
SRX5694292,-0.8422091133,0.0,-0.43565160620000004
SRX5694293,-1.5073350015,0.0,0.038069885000000005
SRX5694294,1.2371478753,0.0,-0.24636549170000002
SRX5694295,2.9803284194,0.0,-1.4046597106
SRX5694296,1.4297522127,0.0,0.0952690145
SRX5694297,4.7519096971,0.0,1.1708920348
SRX5694298,-2.8351139712,0.0,-0.15364917820000001
SRX5694299,1.9475199733,0.0,-0.329062373
SRX5694300,0.5660487171,0.0,0.6446787887000001
SRX5694301,-1.6298325946999999,0.0,-0.499017776
SRX5694302,-2.2713824002,0.0,-0.4983299264
SRX5694303,-1.6493365958,0.0,-0.9284528158
SRX5694304,-0.3124321496,0.0,0.4696265652
SRX5694305,0.792607146,0.0,0.8807592262
SRX5694306,-5.7758673414,0.0,-3.003918591
SRX5694307,-0.5446857495,0.0,2.0280958555
SRX5694308,0.16950400570000002,0.0,0.1282549919
SRX5694309,0.5574519123,0.0,1.4273784088
SRX5694310,-0.0474662426,0.0,0.3338719368
SRX5694311,0.8048453942,0.0,0.5479911068000001
SRX5694312,-3.6371240294,0.0,-1.8298625141
