,yfjW
Cr_1,-0.0012121302777973165
Cr_2,0.0013009313368104708
Cr_3,0.005815879539898696
Cr_4,0.0132260521122322
Cr_5,0.019298628857035646
Cr_6,0.02435199349193545
Fe_1,-0.0072633557975430064
Fe_2,-0.010541688910573957
Fe_3,-0.006333794847982731
Fe_4,-0.005350048163470687
Fe_5,-0.007917717745163737
Fe_6,-0.009022578867753957
Cd_1,0.0015868232373974418
Cd_2,0.0055822563875886225
Cd_3,0.01071987905380962
Cd_4,0.013888268641165316
Cd_5,0.010758515595774116
Cd_6,0.015884182754626955
Zn_1,-0.011256945326832305
Zn_2,-0.01626519177301836
Zn_3,-0.019271585526261653
Zn_4,-0.022429971917659133
Zn_5,-0.03166759466820957
Zn_6,-0.040436203900617806
Cu_1,0.00778737731599848
Cu_2,0.022664984978221808
Cu_3,0.03476673652046867
Cu_4,0.04703783179079267
Cu_5,0.05936904091756357
Cu_6,0.07052547117483217
Pb_1,0.01089142959023246
Pb_2,0.024811778528845738
Pb_3,0.03882507471375592
Pb_4,0.05547397022431346
Pb_5,0.07237897524962493
Pb_6,0.09054485273384624
