,speC
Cr_1,-0.0013976021944860887
Cr_2,0.0022851444148974296
Cr_3,0.004270782042750361
Cr_4,0.008423523730447491
Cr_5,0.011009968797700595
Cr_6,0.012548184363691204
Fe_1,-0.0027810232886801953
Fe_2,-0.0017173046292335125
Fe_3,0.005972279046118469
Fe_4,0.007841551013775589
Fe_5,0.018395757024371184
Fe_6,0.03371853440119465
Cd_1,0.002121012443704533
Cd_2,0.0068082550574310036
Cd_3,0.010692980440916258
Cd_4,0.01092899158889302
Cd_5,0.006653988201206314
Cd_6,0.009096178940076376
Zn_1,-0.003432490422031512
Zn_2,-0.008116958113340947
Zn_3,-0.01351884973547855
Zn_4,-0.0208782910195381
Zn_5,-0.029354497722004932
Zn_6,-0.04104284317751625
Cu_1,0.005740672467359121
Cu_2,0.010841416420341834
Cu_3,0.011838749472480776
Cu_4,0.013028685185479902
Cu_5,0.0125341354989297
Cu_6,0.013412958846254396
Pb_1,0.00799151533392527
Pb_2,0.0115387599515726
Pb_3,0.017727721505044522
Pb_4,0.023510755108432
Pb_5,0.030185911688430843
Pb_6,0.03228796175614833
