,frdA
Cr_1,0.011269058181296695
Cr_2,0.024949446892787875
Cr_3,0.04572288549041432
Cr_4,0.07124531562613617
Cr_5,0.09932137982284894
Cr_6,0.12754565241174148
Fe_1,-0.011447165817166666
Fe_2,-0.03887967257705868
Fe_3,-0.07594737164436846
Fe_4,-0.12358165885043385
Fe_5,-0.1696711667152949
Fe_6,-0.2123012543421476
Cd_1,0.0017691631097016965
Cd_2,0.005002313348159032
Cd_3,0.006881409636025228
Cd_4,0.01072063212345218
Cd_5,0.007047251298433865
Cd_6,0.002299966144919042
Zn_1,-0.00469254904863175
Zn_2,-0.00918931816235501
Zn_3,-0.006040484980689843
Zn_4,0.006218508058939785
Zn_5,0.018422409562463646
Zn_6,0.034471368222619335
Cu_1,0.008799521333988466
Cu_2,0.01809922443234951
Cu_3,0.028398232632994826
Cu_4,0.03830347219878201
Cu_5,0.047939579221012
Cu_6,0.0643257503746737
Pb_1,0.006638226001150757
Pb_2,0.01338013084181128
Pb_3,0.02519092833584587
Pb_4,0.044615413434344456
Pb_5,0.061247464994002035
Pb_6,0.07888854039511528
