,BSU04940
M9exp_1,7.7948
M9exp_2,7.6805
M9exp_3,8.4564
M9tran_1,8.0311
M9tran_2,7.9473
M9tran_3,7.7212
M9stat_1,7.8277
M9stat_2,7.9833
M9stat_3,7.7026
MG-0.1_1,7.909
MG-0.1_2,7.4754
MG-0.1_3,9.0272
MG-0.2_2,7.7439
MG-0.2_3,8.6653
MG+5_1,8.2065
MG+5_2,7.8712
MG+5_3,8.7437
MG+10_1,8.402999999999999
MG+10_2,8.2583
MG+10_3,8.6852
MG+15_1,8.0136
MG+15_2,9.043
MG+15_3,9.0362
MG+25_1,8.3718
MG+25_2,8.2306
MG+25_3,9.1727
MG+45_1,8.8585
MG+45_2,8.1532
MG+45_3,9.7444
MG+60_2,9.0017
MG+60_3,9.189
MG+90_2,8.7506
MG+90_3,9.8016
MG+120_1,9.1391
MG+120_2,9.9117
MG+120_3,9.6392
MG+150_1,8.8938
MG+150_3,8.7192
GM-0.1_1,7.7551
GM-0.1_2,7.9993
GM-0.1_3,7.8419
GM-0.2_1,8.1243
GM-0.2_2,8.5324
GM-0.2_3,7.44
GM+5_1,7.6433
GM+5_2,7.7360000000000015
GM+5_3,7.5849
GM+10_2,7.5392
GM+10_3,7.1751
GM+15_1,7.6175
GM+15_2,7.6877
GM+15_3,7.4086
GM+25_1,7.6243
GM+25_2,7.6721
GM+25_3,7.5348
GM+45_1,7.5676
GM+45_2,6.8951
GM+45_3,7.8102
GM+60_1,7.3589
GM+60_2,7.3352
GM+60_3,7.6221
GM+90_1,7.5006
GM+90_2,8.1253
GM+90_3,7.7891
GM+120_1,7.893
GM+120_3,8.374
GM+150_1,7.8293
GM+150_2,7.3719
GM+150_3,7.8505
BT_1,7.2328
BT_2,7.0246
B36_1,6.7586
B36_2,6.7894
B60_1,6.9838
B60_2,7.1619
S0_1,6.5936
S0_2,6.9417
S0_3,7.0809
S1_1,6.9134
S1_2,6.9748
S1_3,6.7895
S2_1,7.8959
S2_2,7.6368
S2_3,7.5688
S3_1,7.4609
S3_2,7.1614
S4_1,7.6647
S4_2,7.2225
S4_3,7.1979
S5_1,7.0447
S5_2,7.3621
S5_3,7.3017
S6_1,7.2478
S6_2,7.3735
S6_3,7.3425
S6/t_1,8.1022
S6/t_2,7.5437
S6_4,7.6344
S6_5,7.8086
S6_6,7.4459
S7_4,8.764
S7_5,8.6417
S7_6,9.0918
S8_4,8.5329
S8_5,9.222
G135_1,7.4627
G135_3,7.502000000000002
G150_1,7.3432
G150_2,6.8491
G150_3,7.2548
G180_1,7.2277
G180_2,6.8931
G180_3,6.9525
T-5.40H_1,7.6803
T-4.40H_1,7.7135
T-3.40H_1,7.7018
T-2.40H_1,7.881
T-1.40H_1,8.1581
T-1.10H_1,9.8366
T-0.40H_1,11.019
T0.0H_1,12.3744
T0.30H_1,14.0318
T1.0H_1,13.1167
T1.30H_1,12.6793
T2.0H_1,11.5404
T2.30H_1,11.6611
T3.0H_1,10.3422
T3.30H_1,10.2563
T4.0H_1,9.9089
T5.0H_1,8.9279
LBexp_1,6.964
LBexp_2,6.7596
LBexp_3,7.0702
LBtran_1,7.1615
LBtran_2,6.9375
LBtran_3,7.1727
LBstat_1,7.0552
LBstat_2,7.3722
LBstat_3,7.478
LBGexp_1,6.9042
LBGexp_2,6.9586
LBGexp_3,7.0558
LBGtran_2,7.4941
LBGtran_3,7.4568
LBGstat_1,7.1515
LBGstat_2,7.2429
LBGstat_3,7.7121
Mt0_1,7.0556
Mt0_3,6.4272
M0t45_1,7.0225
M0t45_2,6.8616
M0t45_3,6.697
M0t90_1,7.3573
M0t90_2,6.7799
M0t90_3,6.9505
M40t45_1,7.2727
M40t45_2,7.1493
M40t45_3,6.5245
M40t90_1,7.1294
M40t90_2,6.8862
M40t90_3,6.9308
dia0_1,6.9163
dia0_2,6.9511
dia0_3,6.4823
dia5_1,7.1203
dia5_2,7.2617
dia5_3,6.7189
dia15_1,6.8847
dia15_2,6.8927
dia15_3,7.2216
C30_1,8.4097
C30_2,8.4841
C90_1,8.0491
C90_2,6.725
SMM_1,7.2776
SMM_2,7.0235
SMM_3,6.9934
Salt_1,7.2067
Salt_2,7.1684
Salt_3,7.1836
M+G_1,8.8483
M+G_2,7.9146
M+G_3,7.9222
Glu_1,8.1074
Glu_2,8.1728
Glu_3,7.9307
Fru_1,7.8459
Fru_2,7.9329
Fru_3,7.6519
Mal_1,7.9153
Mal_2,8.0159
Mal_3,8.1202
G+S_2,8.361
G+S_3,8.5663
Pyr_1,7.8293
Pyr_2,8.8574
Pyr_3,8.7538
