,yqjF
Cr_1,0.014624892075425706
Cr_2,0.043196373439129625
Cr_3,0.07716907067651199
Cr_4,0.1273096991787019
Cr_5,0.18461625109326232
Cr_6,0.2451633078444409
Fe_1,-0.008018399346495906
Fe_2,-0.026156580629541445
Fe_3,-0.041282904653741404
Fe_4,-0.06413716874813334
Fe_5,-0.09418864215295902
Fe_6,-0.12916208054750433
Cd_1,-0.0003572021071647628
Cd_2,0.0023142736481961274
Cd_3,0.005331864234199844
Cd_4,0.006704030501493086
Cd_5,0.005909265738174019
Cd_6,0.009398713138622544
Zn_1,-0.00011541604930124825
Zn_2,0.002662875494261585
Zn_3,0.010395709968250006
Zn_4,0.020725511355567897
Zn_5,0.04344104872968242
Zn_6,0.07123416842254512
Cu_1,0.002627855030099187
Cu_2,-0.0026827021723055664
Cu_3,0.0004961968449665547
Cu_4,0.020074286859403552
Cu_5,0.0398924483115405
Cu_6,0.06717326543831735
Pb_1,0.007879492261303194
Pb_2,0.02113720143577096
Pb_3,0.029769034893896536
Pb_4,0.03817787509353578
Pb_5,0.049927060847350206
Pb_6,0.05832040096623749
