,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
45,Glc Growth/Exhaust__T-1.10H,6.8689,,1.0,118.0,6.8689,,,,,,,,,,,,,,
46,Glc Growth/Exhaust__T-0.40H,6.9472,,1.0,119.0,6.9472,,,,,,,,,,,,,,
47,Glc Growth/Exhaust__T0.0H,6.8828,,1.0,120.0,6.8828,,,,,,,,,,,,,,
48,Glc Growth/Exhaust__T0.30H,7.6898,,1.0,121.0,7.6898,,,,,,,,,,,,,,
49,Glc Growth/Exhaust__T1.0H,7.2951,,1.0,122.0,7.2951,,,,,,,,,,,,,,
50,Glc Growth/Exhaust__T1.30H,7.7486,,1.0,123.0,7.7486,,,,,,,,,,,,,,
51,Glc Growth/Exhaust__T2.0H,8.0038,,1.0,124.0,8.0038,,,,,,,,,,,,,,
52,Glc Growth/Exhaust__T2.30H,7.6139,,1.0,125.0,7.6139,,,,,,,,,,,,,,
53,Glc Growth/Exhaust__T3.0H,7.4546,,1.0,126.0,7.4546,,,,,,,,,,,,,,
54,Glc Growth/Exhaust__T3.30H,7.9296,,1.0,127.0,7.9296,,,,,,,,,,,,,,
55,Glc Growth/Exhaust__T4.0H,7.7821,,1.0,128.0,7.7821,,,,,,,,,,,,,,
56,Glc Growth/Exhaust__T5.0H,7.8505,,1.0,129.0,7.8505,,,,,,,,,,,,,,
57,LB__LBexp,7.126133333333333,0.07074470533780808,3.0,130.0,7.0452,131.0,7.1762,132.0,7.157,,,,,,,,,,
58,LB__LBtran,7.1985,0.1386532725902998,3.0,133.0,7.2777,134.0,7.0384,135.0,7.2794,,,,,,,,,,
59,LB__LBstat,7.3212,0.18148793348319345,3.0,136.0,7.1141,137.0,7.397,138.0,7.4525,,,,,,,,,,
60,LB__LBGexp,7.0825000000000005,0.11355760652637947,3.0,139.0,6.9638,140.0,7.1901,141.0,7.0936,,,,,,,,,,
61,LB__LBGtran,7.50445,0.04221427483683711,2.0,142.0,7.5343,143.0,7.4746,,,,,,,,,,,,
62,LB__LBGstat,7.400566666666667,0.24836107451316394,3.0,144.0,7.2886,145.0,7.2279,146.0,7.6852,,,,,,,,,,
63,Stress Time Course__Mt0,7.27425,0.13286536418495223,2.0,147.0,7.1803,148.0,7.3682,,,,,,,,,,,,
64,Stress Time Course__M0t45,7.242566666666668,0.20982598345613274,3.0,149.0,7.0738,150.0,7.4775,151.0,7.1764,,,,,,,,,,
65,Stress Time Course__M0t90,7.166033333333334,0.2546325653433458,3.0,152.0,7.3967,153.0,6.8928,154.0,7.2086,,,,,,,,,,
66,Stress Time Course__M40t45,7.176533333333334,0.22469958463097614,3.0,155.0,7.3283,156.0,7.2829,157.0,6.9184,,,,,,,,,,
67,Stress Time Course__M40t90,7.089266666666667,0.17949123469777967,3.0,158.0,7.0519,159.0,6.9314,160.0,7.2845,,,,,,,,,,
68,Stress Time Course__dia0,6.849933333333333,0.21716561268610945,3.0,161.0,6.949,162.0,6.9999,163.0,6.6009,,,,,,,,,,
69,Stress Time Course__dia5,7.209966666666666,0.16503012856243376,3.0,164.0,7.1882,165.0,7.3848,166.0,7.0569,,,,,,,,,,
70,Stress Time Course__dia15,7.188199999999999,0.1430742464596614,3.0,167.0,7.0674,168.0,7.151,169.0,7.3462,,,,,,,,,,
71,Stress Time Course__C30,9.87895,0.20131330060381067,2.0,170.0,10.0213,171.0,9.7366,,,,,,,,,,,,
72,Stress Time Course__C90,8.372150000000001,0.6967123115031056,2.0,172.0,8.8648,173.0,7.8795,,,,,,,,,,,,
73,Stress Time Course__SMM,7.247600000000001,0.21751429838058906,3.0,174.0,7.4973,175.0,7.0993,176.0,7.1462,,,,,,,,,,
74,Stress Time Course__Salt,7.523833333333333,0.046886067582314145,3.0,177.0,7.5016,178.0,7.4922,179.0,7.5777,,,,,,,,,,
75,Supplement__M+G,9.716033333333334,0.4325381409001221,3.0,180.0,10.0692,181.0,9.2336,182.0,9.8453,,,,,,,,,,
76,Supplement__Glu,8.217966666666667,0.6885097844862726,3.0,183.0,8.4108,184.0,7.4536,185.0,8.7895,,,,,,,,,,
77,Supplement__Fru,8.444566666666667,1.1193133311693082,3.0,186.0,7.1529,187.0,9.0509,188.0,9.1299,,,,,,,,,,
78,Supplement__Mal,10.349266666666667,1.303389697417213,3.0,189.0,8.8769,190.0,10.8154,191.0,11.3555,,,,,,,,,,
79,Supplement__G+S,14.9104,0.5286330296150631,2.0,192.0,14.5366,193.0,15.2842,,,,,,,,,,,,
80,Supplement__Pyr,14.054699999999999,2.0529027716869597,3.0,194.0,11.6844,195.0,15.2657,196.0,15.214,,,,,,,,,,
81,Supplement__Gly,9.1073,0.35896736620478414,3.0,197.0,9.1421,198.0,9.4476,199.0,8.7322,,,,,,,,,,
82,Supplement__Glucon,11.8929,3.085470719355476,3.0,200.0,13.4003,201.0,13.9349,202.0,8.3435,,,,,,,,,,
83,Biofilm__BI,6.909599999999999,0.05416437943888954,2.0,203.0,6.9479,204.0,6.8713,,,,,,,,,,,,
84,Biofilm__BC,8.227275,1.1161072570172939,4.0,205.0,7.3664,206.0,8.4186,207.0,9.7315,208.0,7.3926,,,,,,,,
85,Biofilm__Sw,6.9189,0.004949747468305602,2.0,209.0,6.9154,210.0,6.9224,,,,,,,,,,,,
86,Stressors__BMM,7.020499999999999,0.19622999261071206,3.0,211.0,6.8306,212.0,7.0084,213.0,7.2225,,,,,,,,,,
87,Stressors__Heat,7.3004999999999995,0.36671062160782836,3.0,214.0,7.4887,215.0,6.8779,216.0,7.5349,,,,,,,,,,
88,Stressors__Cold,7.696033333333333,0.07730293224278983,3.0,217.0,7.6068,218.0,7.7387,219.0,7.7426,,,,,,,,,,
89,Stressors__Etha,7.626333333333334,0.23774209415526984,3.0,220.0,7.6153,221.0,7.8694,222.0,7.3943,,,,,,,,,,
90,Stressors__SMMPr,11.1106,0.5114873703230608,3.0,223.0,11.0019,224.0,10.6622,225.0,11.6677,,,,,,,,,,
91,Stressors__HiTm,7.525166666666666,0.3591227830886441,3.0,226.0,7.7297,227.0,7.1105,228.0,7.7353,,,,,,,,,,
92,Stressors__LoTm,10.005133333333333,0.7386693058015434,3.0,229.0,10.1877,230.0,9.1923,231.0,10.6354,,,,,,,,,,
93,Stressors__HiOs,8.135,0.43182448981038635,3.0,232.0,7.9715,233.0,8.6247,234.0,7.8088,,,,,,,,,,
94,Stressors__Oxctl,7.954233333333334,0.24149617664330253,3.0,235.0,8.0426,236.0,8.1391,237.0,7.681,,,,,,,,,,
95,Stressors__Diami,7.741766666666667,0.29789342613312764,3.0,238.0,7.6885,239.0,7.4741,240.0,8.0627,,,,,,,,,,
96,Stressors__Paraq,7.6208,0.20644912206158703,3.0,241.0,7.857,242.0,7.5306,243.0,7.4748,,,,,,,,,,
97,Stressors__H2O2,7.482966666666667,0.09572995003306606,3.0,244.0,7.4188,245.0,7.4371,246.0,7.593,,,,,,,,,,
98,Stressors__HPh,7.553433333333333,0.30675114235049533,3.0,247.0,7.684,248.0,7.2029999999999985,249.0,7.7733,,,,,,,,,,
99,Stressors__LPh,7.457933333333334,0.26230021603752696,3.0,250.0,7.4823,251.0,7.1843,252.0,7.7072,,,,,,,,,,
100,Stressors__LPhT,7.393999999999999,0.22469408091892393,3.0,253.0,7.6011,254.0,7.1551,255.0,7.4258,,,,,,,,,,
101,Stressors__aero,8.498466666666667,1.5816471488082713,3.0,256.0,10.3245,257.0,7.6139,258.0,7.557,,,,,,,,,,
102,Stressors__nit,9.1171,1.182882720306625,3.0,259.0,10.4822,260.0,8.4744,261.0,8.3947,,,,,,,,,,
103,Stressors__ferm,9.3405,1.331521201483476,3.0,262.0,10.8416,263.0,8.3019,264.0,8.878,,,,,,,,,,
