,ygiR
Cr_1,-0.0011520819581839967
Cr_2,0.004337457964823375
Cr_3,0.0156735664770257
Cr_4,0.024701500260031414
Cr_5,0.031984033748674666
Cr_6,0.042751504004880654
Fe_1,-0.011071658039346195
Fe_2,0.010968100124015208
Fe_3,0.06496093240403772
Fe_4,0.11084075905878238
Fe_5,0.13574647402415393
Fe_6,0.15515657766341345
Cd_1,0.00406133018061614
Cd_2,0.010182007294817186
Cd_3,0.017236940537242968
Cd_4,0.022359486619575486
Cd_5,0.024236969795598542
Cd_6,0.03335800650590731
Zn_1,-0.003626093887571253
Zn_2,0.0006483133540043117
Zn_3,0.01592327212353449
Zn_4,0.023273313581677942
Zn_5,0.023425836558384032
Zn_6,0.01659119519891034
Cu_1,0.007534818953503745
Cu_2,0.01467807372657117
Cu_3,0.036280417519976314
Cu_4,0.055676349149461575
Cu_5,0.07073345791823449
Cu_6,0.0844293405169367
Pb_1,0.00421529866188354
Pb_2,0.01434429900057574
Pb_3,0.026418674438404108
Pb_4,0.045549434950889436
Pb_5,0.0630122540216207
Pb_6,0.070367903318485
