,-0.0643504807125,-0.0214501602375,0.0214501602375,0.0643504807125,0.10725080118750001,0.1501511216625,0.19305144213750003,0.2359517626125,0.27885208308750004,0.32175240356250007,0.36465272403750004,0.4075530445125,0.45045336498750005,0.4933536854625001,0.5362540059375,0.5791543264125,0.6220546468875,0.6649549673625,0.7078552878375001,0.7507556083125
thresh,-0.08580064095,0.08580064095,1,,,,,,,,,,,,,,,,,
unreg,29,884,771,28,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
unreg_genes,[],[],[],[],"['ulaD' 'radC' 'ssb_2' 'SP5448_03530' 'thiF' 'SP5448_02540' 'SP5448_04635'
 'SP5448_03720' 'SP5448_05580']",['SP5448_02315'],[],[],[],[],[],[],[],[],['SP5448_01000'],[],[],[],[],[]
