,ygiH
Cr_1,0.005261598353684537
Cr_2,0.009951091522409144
Cr_3,0.011639288856247057
Cr_4,0.015252167365290819
Cr_5,0.022493365851123742
Cr_6,0.02893039228466945
Fe_1,-0.005400598398390718
Fe_2,-0.010995577932369324
Fe_3,-0.017242420564396538
Fe_4,-0.02639545322469404
Fe_5,-0.028803875321421195
Fe_6,-0.030915030136552293
Cd_1,0.0035063079557609016
Cd_2,0.00849603420397582
Cd_3,0.012458369273224926
Cd_4,0.015117250302841816
Cd_5,0.014472247695702559
Cd_6,0.01837659345780052
Zn_1,-0.0039937130010019644
Zn_2,-0.004226633192730011
Zn_3,0.0012279705123120605
Zn_4,0.008206522902642184
Zn_5,0.013366855436396005
Zn_6,0.012797663608804155
Cu_1,0.005502348849487408
Cu_2,0.0124082740364757
Cu_3,0.021359212908947732
Cu_4,0.028107896434689014
Cu_5,0.034714766705214305
Cu_6,0.04325332724630503
Pb_1,0.005399032617692789
Pb_2,0.01082642238667493
Pb_3,0.017854605349799237
Pb_4,0.028306947066181167
Pb_5,0.03606256024987088
Pb_6,0.0493703972949885
