,yfeY
Cr_1,0.0027234166424940642
Cr_2,0.00045453374091734865
Cr_3,0.00488685990052266
Cr_4,0.01113733688013627
Cr_5,0.012713520430975518
Cr_6,0.0021568802033020288
Fe_1,-0.02182378732432667
Fe_2,-0.04944869656305311
Fe_3,-0.07987007576671924
Fe_4,-0.12514102756804266
Fe_5,-0.15792747218055075
Fe_6,-0.188463070752222
Cd_1,0.0076876896099727764
Cd_2,0.0015238392676485955
Cd_3,-0.0009995669800862547
Cd_4,0.0015273111109933312
Cd_5,-0.0030800621340062195
Cd_6,-0.0056644096614309435
Zn_1,0.8416997779275699
Zn_2,-0.023840627370718816
Zn_3,-0.1068723643387197
Zn_4,-0.11978523937689295
Zn_5,-0.115575399504504
Zn_6,-0.13113738983864812
Cu_1,0.003359895846674191
Cu_2,-0.0028468870853613376
Cu_3,-0.0003354631974069924
Cu_4,0.011220787449082142
Cu_5,0.01546148502188616
Cu_6,0.008830851979102269
Pb_1,0.001528643425763424
Pb_2,0.0005133652347292197
Pb_3,-0.010959409770148323
Pb_4,-0.01956701883483612
Pb_5,-0.028564816965085088
Pb_6,-0.032869811882434936
