,-0.22987590599514374,-0.20567844220618123,-0.18148097841721872,-0.1572835146282562,-0.1330860508392937,-0.10888858705033119,-0.08469112326136868,-0.060493659472406175,-0.036296195683443666,-0.012098731894481157,0.012098731894481352,0.03629619568344389,0.06049365947240637,0.08469112326136885,0.10888858705033139,0.13308605083929392,0.1572835146282564,0.18148097841721889,0.20567844220618142,0.22987590599514396
thresh,-0.09678985515585,0.09678985515585,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,0,0,1,2,16,110,1914,1761,90,13,3,3,6,0,3,0,0
unreg_genes,['crp'],[],[],[],[],['pck'],[],[],[],[],[],[],[],[],['mscS' 'tsx' 'tsgA'],['ydeA' 'yneE' 'proP' 'ybiJ' 'gcd' 'bhsA'],[],['yjcB' 'yedR' 'psiE'],[],[]
