,cdd
Cr_1,-0.01185605350391695
Cr_2,-0.028908032763485306
Cr_3,-0.038498612753721705
Cr_4,-0.04143289505100372
Cr_5,-0.041286057328307584
Cr_6,-0.048758554270349926
Fe_1,-0.027203165198197567
Fe_2,-0.06999476458745292
Fe_3,-0.11301960300677405
Fe_4,-0.1557074751198312
Fe_5,-0.195847220158612
Fe_6,-0.2279778589478131
Cd_1,-0.0019720112667756078
Cd_2,0.0009523860371833458
Cd_3,-0.0003913339541374232
Cd_4,-0.001361970719366739
Cd_5,-0.0014587366866571456
Cd_6,-0.001056119089109616
Zn_1,-0.02993300042760377
Zn_2,-0.05966391987415748
Zn_3,-0.07931148918999785
Zn_4,-0.06440288757724022
Zn_5,-0.04826251543105517
Zn_6,-0.017000066270512218
Cu_1,-2.7362791302035642e-05
Cu_2,-0.013362647598294548
Cu_3,-0.018826256837573503
Cu_4,-0.020113629917050808
Cu_5,-0.025346933127780056
Cu_6,-0.030522256090777168
Pb_1,0.009648034157823431
Pb_2,0.017939706641842367
Pb_3,0.028891300952542918
Pb_4,0.044185989682292835
Pb_5,0.05894656137319715
Pb_6,0.07102094002701109
