,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A
46,cra_crp__delcra_fru,2.897637782886992,0.23107795220480723,2.0,84.0,3.061034569873712,85.0,2.734240995900272,,,,,,,,
47,cra_crp__delcra_glc,0.2090618550879507,0.14737289653546362,2.0,86.0,0.3132702295912805,87.0,0.1048534805846209,,,,,,,,
48,rpoB__wt_031,-0.8104298435238039,,1.0,88.0,-0.8104298435238039,,,,,,,,,,
49,rpoB__wt_044,1.5047934078820369,,1.0,89.0,1.5047934078820369,,,,,,,,,,
50,rpoB__wt_lb,1.6914946631609729,0.011691498691607087,2.0,90.0,1.699761801168042,91.0,1.683227525153904,,,,,,,,
51,rpoB__rpoBE546V_031,-0.7598395626026787,,1.0,92.0,-0.7598395626026787,,,,,,,,,,
52,rpoB__rpoBE546V_044,0.0024340390869719,,1.0,93.0,0.0024340390869719,,,,,,,,,,
53,rpoB__rpoBE546V_lb,-3.873997100193696,0.39759753446071056,2.0,94.0,-3.5928531873934757,95.0,-4.155141012993917,,,,,,,,
54,rpoB__rpoBE546V_glc,-1.33301194666889,,1.0,96.0,-1.33301194666889,,,,,,,,,,
55,rpoB__rpoBE672K_glc,-6.8414151863617665,0.09044518149286046,2.0,97.0,-6.905369587521016,98.0,-6.777460785202517,,,,,,,,
56,rpoB__rpoBE672K_lb,-7.430711847659026,0.3449113113493803,2.0,99.0,-7.674600974822117,100.0,-7.186822720495934,,,,,,,,
57,crp__wt_fru,-1.49967702767309,,1.0,101.0,-1.49967702767309,,,,,,,,,,
58,crp__wt_glyc,-3.068265059221467,0.013226355413071603,2.0,102.0,-3.0589126136185008,103.0,-3.0776175048244334,,,,,,,,
59,crp__delar1_glyc,-0.6561263683130398,0.2923521413890201,2.0,104.0,-0.8628505499836243,105.0,-0.4494021866424554,,,,,,,,
60,crp__delar1ar2_glyc,-2.311466714833337,0.19961296866578723,3.0,106.0,-2.531733285931945,107.0,-2.260132370617319,108.0,-2.142534487950748,,,,,,
61,crp__delar2_glyc,1.7453532337777693,0.27014918159105056,3.0,109.0,1.5006430019322,110.0,1.700172511334907,111.0,2.035244188066201,,,,,,
