,smpB
Cr_1,0.0008205984282524329
Cr_2,0.0033367660857678057
Cr_3,0.0056937317655865564
Cr_4,0.00965640641503235
Cr_5,0.014409940034022134
Cr_6,0.0187102877448268
Fe_1,-0.01095152294250065
Fe_2,-0.025838793776234777
Fe_3,-0.045026109541350084
Fe_4,-0.06314497184924918
Fe_5,-0.07655731550031282
Fe_6,-0.08274992673163092
Cd_1,-0.000732693056185126
Cd_2,-0.00027634979421977063
Cd_3,-5.224037908411629e-05
Cd_4,0.0004948255217073361
Cd_5,-0.002453812648986546
Cd_6,0.00045047174938925234
Zn_1,-0.002295288024953881
Zn_2,-0.005661701534430196
Zn_3,-0.003171395471930339
Zn_4,0.0021007609527744727
Zn_5,0.00965735332235798
Zn_6,0.01902522359473801
Cu_1,-0.00017106824892548634
Cu_2,0.0001610969723467003
Cu_3,0.0005470746312934794
Cu_4,0.0026318695416451435
Cu_5,0.0028618822269762642
Cu_6,0.007434076187313588
Pb_1,0.007446679821555652
Pb_2,0.017677091801416377
Pb_3,0.03028493411840985
Pb_4,0.0402983118867925
Pb_5,0.04911645505089085
Pb_6,0.06400387062092573
