,A,TorR
R2,,0.0993988630514665
xmin,,-4.558842202
xmid,,-1.7000487050602988
xmax,,3.0312857684
ystart,,2.7127902762536165
yend,,-2.60398497054873
SRX1125282,0.4635789958,0.0269742268
SRX1125283,0.264977098,-0.1901568961
SRX1125284,0.1086898994,-0.26921608950000003
SRX1125285,0.17432536710000002,-0.4056953162
SRX1125286,0.1161270284,-0.2240165792
SRX1125287,-0.9120608536,-0.3936496618
SRX1125288,0.2649101143,0.2650887413
SRX1125289,0.09097675,0.0159067473
SRX1125290,0.1749138336,-0.4380669465
SRX1125291,0.0258653246,-0.30470502
SRX1125292,-0.10479695210000001,-0.4247258168
SRX1125293,-0.21078791600000002,-0.18260121710000002
SRX1125294,-0.7284891101000001,-0.2920629681
SRX1125295,-0.11304608790000001,-0.22571623240000002
SRX1125296,0.2945385893,-0.37329338230000003
SRX1125297,0.1678105949,-0.5041255496
SRX1125298,-0.0516324592,-0.3690842462
SRX1125299,-0.45891034610000003,-0.4786594724
SRX5694250,9.9860658186,-1.4718733298
SRX5694251,7.7303292893,-0.5587259288
SRX5694252,-0.1583540897,0.088082953
SRX5694253,9.2906747043,-1.346774336
SRX5694254,9.6774272638,-1.2182614017
SRX5694255,1.4227621733,-1.7450659574
SRX5694256,9.7810423163,-1.7126228518
SRX5694257,7.5428778826,-0.7590282312000001
SRX5694258,9.8637161432,-0.8285372743
SRX5694259,0.5101637768,-0.4523686961
SRX5694260,0.0822647089,-0.1736196867
SRX5694261,-0.6527735920000001,-0.5287641633
SRX5694262,-1.2292869071,0.5135253661
SRX5694263,-0.6005919619,0.4524688911
SRX5694264,-0.5735594270000001,-0.1959478282
SRX5694265,-0.3589009113,-0.6990081907
SRX5694267,9.1014793478,-0.7924464296
SRX5694268,-0.5875590708,0.24699792040000002
SRX5694269,-0.20496222050000001,-0.5718288776
SRX5694271,-0.28701404410000003,0.2545990717
SRX5694273,10.1309104665,-1.8589553528
SRX5694274,-0.3293014492,0.0053403951
SRX5694275,0.7455737832,-0.7139529371000001
SRX5694276,8.6547805374,-1.0183394182
SRX5694277,-1.1497426705,-0.48467007440000004
SRX5694278,11.3145877597,-1.4640179884
SRX5694279,-1.2113885897,-0.0702830821
SRX5694280,8.5177761639,-2.4278725465
SRX5694281,11.5719128392,-0.7910645049
SRX5694282,8.5607208403,-1.5692158253000001
SRX5694283,0.17003656250000002,-0.8892617992
SRX5694284,-0.9857608552,-0.9019526670000001
SRX5694285,1.8815542506,-1.7693886812000001
SRX5694286,0.6007447381000001,-1.5569092963
SRX5694287,-0.575482106,0.5951220559
SRX5694288,-0.5740029198000001,0.2840756132
SRX5694289,9.6205245488,-1.2687843466
SRX5694290,-0.5182109938,-0.3461628397
SRX5694291,1.293147306,-1.2845445984000001
SRX5694292,11.7861275235,-0.8751249534000001
SRX5694293,-0.38962967070000004,0.0934180689
SRX5694294,9.1836329397,-0.5922385799000001
SRX5694295,0.9292501734,-0.9765080467
SRX5694296,8.9220803983,-1.3376276966
SRX5694297,6.0077901045,-1.1687317337
SRX5694298,10.5121823596,-2.086931501
SRX5694299,9.78381072,-0.6769295997
SRX5694300,-0.3746276364,-0.0832451515
SRX5694301,11.5639402982,-0.8675558672
SRX5694302,-0.4401061968,-0.4505505528
SRX5694303,-0.4618692344,-0.7524902998
SRX5694304,-1.2946636516,-0.2168579722
SRX5694305,7.3136825917,-0.4833931721
SRX5694306,10.7446513057,-0.26400130320000004
SRX5694307,9.7795483497,-1.8287442624999999
SRX5694308,-0.49368252960000003,-0.9957836522000001
SRX5694309,-0.2527835048,-1.1367162397
SRX5694310,9.3731978583,-2.440504572
SRX5694311,0.8471998703,-0.3734172244
SRX5694312,1.0578774213,1.2910602332
SRX5694313,1.8845565571,-0.5631577876
SRX5694315,0.1162103879,0.00022729180000000002
SRX5694317,0.5217278756,0.7777369596
SRX5694319,0.1692902483,-0.1661118254
SRX5694320,0.7462188710000001,-1.0998904669
SRX5694321,7.7194659922,-0.7525769107
SRX5694322,1.2978279615,1.0002483913
SRX5694323,6.928988226,-1.1802752905
SRX5694324,8.0613485454,-1.3911662337
SRX5694325,-0.08970504900000001,-0.6162078137
SRX5694326,10.7220386649,-1.5116381265
SRX5694327,9.9687947174,-1.8685128039
SRX5694328,0.12513683750000001,0.12378969670000001
SRX5694329,5.0559018976,-0.3122486693
SRX5694330,0.5104483321000001,-0.2540129094
SRX5694331,-0.9275950459000001,-0.1507343155
SRX5694332,1.1359107877,0.44669079640000003
SRX5694334,-0.5568510959,-0.7831916378
SRX5694335,1.3973811628,0.514828949
SRX5694336,-0.2255845431,0.0039385655
SRX5694337,8.6756457895,-1.604262516
SRX5694338,0.3966395106,0.3602549463
SRX5694339,-0.2896973057,-0.36907603040000003
SRX5694340,9.5327590632,-2.0745831356
SRX5694341,8.3287771063,-0.812697137
SRX5694342,6.6597474539,-0.7930279986000001
SRX5694343,8.8482206053,0.5083146313
SRX5694344,6.5176452936,-0.8923854209000001
SRX5694345,9.9302337809,-1.2876823597
SRX5694346,6.5417833026,0.0422885162
SRX5694347,9.9593998234,-0.7594484138
SRX5694348,0.9019363568000001,0.5553887509000001
SRX5694349,0.1708204791,-0.5799106452
SRX5694350,10.7889071922,-0.7524522274000001
SRX5694351,7.9251940677,-1.1197661263
SRX5694352,10.774076542,-0.9635415545
SRX5694353,10.475770374,-0.9277197119
SRX5694354,-0.9340004806000001,-0.1413480285
SRX5694356,10.4031900557,-1.1469423699
SRX5694357,5.7505374263,-1.4425527938
SRX5694358,3.8145356021,-1.5916673735
SRX5694359,0.4286602546,-2.0010399011
SRX5694360,-0.0159721608,-0.7434037376
SRX5694361,1.240309263,1.0572873213
SRX5694362,-0.8595718438000001,0.08243843420000001
SRX5694363,7.8596095617,-1.255774997
SRX5694364,-0.6361273390000001,-1.7725750558
SRX5694365,-0.40187251,1.1516334174
SRX5694366,-0.3504993416,-0.3543353938
SRX5694367,-0.191851244,-0.660096356
SRX5694368,-0.6632020777000001,-0.7489837894
SRX5694369,0.1314809122,-0.1897573508
SRX5694370,0.168739837,-0.024462619
SRX5694371,-0.1270888573,-0.4862645155
SRX5694372,10.9492613003,-1.6896947931000001
SRX5694373,10.3596926444,-0.8344409241
SRX5694374,0.290526237,-1.4509173169
SRX5694375,12.0499920382,-1.1430689154
SRX5694376,-0.8708763602,0.011607085900000001
SRX5694377,0.43866144490000003,-2.6996297958
SRX5694378,0.5024005413,-1.9476543955
SRX5694379,9.3092865627,-2.0333954617
SRX5694380,6.6281074836,0.3096397207
SRX5694381,4.9990293085,0.0900036889
SRX5694382,9.4341940982,0.1333843478
SRX5694383,12.6909600602,-1.3411903705000001
SRX5694384,-0.6003870689,-0.1321801998
