,lpp
Cr_1,0.00024779576188653713
Cr_2,-0.0008607991630633804
Cr_3,0.0017229895865165069
Cr_4,0.005622729191283011
Cr_5,0.011747365555007836
Cr_6,0.01147020724755738
Fe_1,-0.007150113080665875
Fe_2,-0.020645531545570764
Fe_3,-0.039188137364932235
Fe_4,-0.06021135504376369
Fe_5,-0.0756049533402303
Fe_6,-0.08581475128786316
Cd_1,0.00037347078868967313
Cd_2,0.0017056242199466325
Cd_3,0.0013946204701072414
Cd_4,0.0006961088583279411
Cd_5,-0.003272825569546118
Cd_6,-0.00206541103198388
Zn_1,0.0005319807394938629
Zn_2,0.006114785459988738
Zn_3,0.019835609695870532
Zn_4,0.03853643548585781
Zn_5,0.05378291233538703
Zn_6,0.06454494182338404
Cu_1,0.004190440847127809
Cu_2,0.007967460194212163
Cu_3,0.010145403162382792
Cu_4,0.01157747468271157
Cu_5,0.017943808790037947
Cu_6,0.025869742993710386
Pb_1,0.007685339555402826
Pb_2,0.015630395405710658
Pb_3,0.02610994379453009
Pb_4,0.036714669985642
Pb_5,0.04866547432985479
Pb_6,0.06138767267983311
