,BSU_38070
LBexp_1,10.1789
LBexp_2,9.6743
LBexp_3,8.9827
LBtran_1,9.8692
LBtran_2,8.9873
LBtran_3,8.3582
LBstat_1,8.7918
LBstat_2,8.8348
LBstat_3,8.7107
LBGexp_1,9.8403
LBGexp_2,11.1707
LBGexp_3,9.5736
LBGtran_2,8.2685
LBGtran_3,9.9612
LBGstat_1,8.3123
LBGstat_2,7.9046
LBGstat_3,9.1134
S0_1,8.638
S0_2,8.3389
S0_3,8.6094
S1_1,11.2212
S1_2,11.1146
S1_3,11.1966
S2_1,16.3979
S2_2,16.438
S2_3,16.4027
S3_1,16.4242
S3_2,16.436
S4_1,16.3633
S4_2,16.4027
S4_3,16.4428
S5_1,16.237
S5_2,16.383
S5_3,16.3323
S6_1,15.5322
S6_2,9.2417
S6_3,15.5379
S6/t_1,15.3915
S6/t_2,8.7583
S6_4,15.7083
S6_5,16.2865
S6_6,16.0926
S7_4,15.9453
S7_5,15.8913
S7_6,15.6824
S8_4,15.6935
S8_5,11.6886
G135_1,9.761
G135_3,8.5896
G150_1,10.8122
G150_2,10.3223
G150_3,11.2439
G180_1,9.8077
G180_2,10.1808
G180_3,9.3607
C30_1,9.5852
C30_2,9.9611
C90_1,11.1296
C90_2,11.5461
BI_1,9.7821
BI_2,9.5357
BC_2,15.0036
BC/t_1,14.6361
BC/t_2,15.2447
BC_1,14.4391
Sw_1,12.8817
Sw_2,13.1112
BT_1,16.0152
BT_2,15.3531
B36_1,16.4638
B36_2,16.3747
B60_1,16.4379
B60_2,16.4606
M9exp_1,11.0565
M9exp_2,10.707699999999999
M9exp_3,10.2037
M9tran_1,10.387
M9tran_2,10.5206
M9tran_3,11.8826
M9stat_1,16.4535
M9stat_2,16.2596
M9stat_3,16.3382
M+G_1,10.0491
M+G_2,10.0546
M+G_3,9.5881
Glu_1,10.8396
Glu_2,10.5046
Glu_3,11.0058
Fru_1,10.3698
Fru_2,11.5657
Fru_3,10.4646
Mal_1,9.1994
Mal_2,10.0016
Mal_3,9.2654
G+S_2,15.7991
G+S_3,15.7059
Pyr_1,15.6576
Pyr_2,15.0202
Pyr_3,14.78
Gly_1,9.7065
Gly_2,10.7602
Gly_3,9.0585
Glucon_1,13.2207
Glucon_2,12.8866
Glucon_3,9.2941
aero_1,10.4765
aero_2,8.9434
aero_3,9.5799
nit_1,10.4622
nit_2,11.2134
nit_3,11.2664
ferm_1,9.5871
ferm_2,10.3479
