,norR
Cr_1,0.0017660002346175368
Cr_2,0.008788060585646193
Cr_3,0.014322231758790022
Cr_4,0.020174828709217683
Cr_5,0.02369634807164498
Cr_6,0.02552275705280813
Fe_1,-0.007914063893335445
Fe_2,-0.013977484144903008
Fe_3,-0.015406964535399113
Fe_4,-0.019318451084828332
Fe_5,-0.017543859406081032
Fe_6,-0.014700136414425254
Cd_1,0.00655994655305655
Cd_2,0.019518347969859417
Cd_3,0.03499808556315271
Cd_4,0.0498966836476935
Cd_5,0.05835064192665512
Cd_6,0.07162515870302877
Zn_1,-0.010353835339295228
Zn_2,-0.01283376589162256
Zn_3,-0.004757512317461058
Zn_4,0.0036129318140584845
Zn_5,0.009141888152063562
Zn_6,0.01523317155927456
Cu_1,0.00638057291902333
Cu_2,0.014842665483224871
Cu_3,0.026270938928329133
Cu_4,0.03833246247324943
Cu_5,0.049985761341781135
Cu_6,0.0620535320909115
Pb_1,0.004408272735882646
Pb_2,0.01108977687755341
Pb_3,0.02459047820348028
Pb_4,0.039800103170203605
Pb_5,0.056167945292136034
Pb_6,0.06874106308173977
