,hcaT
Cr_1,-0.00431220542994889
Cr_2,-0.010372443801988492
Cr_3,-0.03480772894782076
Cr_4,-0.034657437697271434
Cr_5,-0.04326461641607752
Cr_6,-0.06353820272123335
Fe_1,-0.055061149160103115
Fe_2,-0.08713047165395048
Fe_3,-0.08162791953508719
Fe_4,-0.045683917700983706
Fe_5,-0.08689425538508325
Fe_6,-0.10935494966902336
Cd_1,0.014642236441347732
Cd_2,0.02965993880432117
Cd_3,0.03638234890301634
Cd_4,0.04512805250294462
Cd_5,0.057773998826923516
Cd_6,0.06820608594719094
Zn_1,0.016519689608830622
Zn_2,0.032161747404758384
Zn_3,0.039496717244711474
Zn_4,0.05520158242973573
Zn_5,0.07824192333369459
Zn_6,0.09598195160486747
Cu_1,0.022926254841158376
Cu_2,0.031177420809095236
Cu_3,0.035233327493228266
Cu_4,0.0431562682888316
Cu_5,0.050240796315032615
Cu_6,0.05807480298589801
Pb_1,0.014839665882707038
Pb_2,0.019046153727788628
Pb_3,0.01389336887486162
Pb_4,0.02786862189451093
Pb_5,0.04567115565758842
Pb_6,0.06800969422275444
