,fur
Cr_1,-0.012116824598611471
Cr_2,-0.01977187355940143
Cr_3,-0.02312037707558019
Cr_4,-0.028138883434552182
Cr_5,-0.03396334071213843
Cr_6,-0.03780307501172889
Fe_1,0.004410918823178792
Fe_2,0.0061343091292296635
Fe_3,0.007613481912916719
Fe_4,0.0039032747633725782
Fe_5,2.050032870449592e-05
Fe_6,-0.0031354576481780827
Cd_1,0.0036541184739975314
Cd_2,0.005169338732418884
Cd_3,0.0039034086174517453
Cd_4,0.0045179585493188845
Cd_5,0.004027228962939249
Cd_6,0.007420855757494088
Zn_1,-0.00486496099369858
Zn_2,-0.0037538167242133994
Zn_3,0.00500307759879411
Zn_4,0.019413934576501757
Zn_5,0.02699324287173144
Zn_6,0.031599884943224056
Cu_1,-0.006928508464825493
Cu_2,-0.016679547145078508
Cu_3,-0.020698914782843674
Cu_4,-0.024941787803709314
Cu_5,-0.02433706972644547
Cu_6,-0.021437631472286018
Pb_1,-0.0008048979873252753
Pb_2,-0.003464447469013524
Pb_3,-0.009900492269191666
Pb_4,-0.023081158777745588
Pb_5,-0.033474432725498666
Pb_6,-0.02646177020837424
