,pcnB
Cr_1,0.008429877193386033
Cr_2,0.025932014217950487
Cr_3,0.04455871409380329
Cr_4,0.0468661239316224
Cr_5,0.04967581328607428
Cr_6,0.05729510712188725
Fe_1,-0.03877934206904583
Fe_2,-0.07076558120993566
Fe_3,-0.0585112196393025
Fe_4,-0.040112866350799
Fe_5,0.0016887313071206466
Fe_6,0.04404618634577768
Cd_1,0.0003616219260035651
Cd_2,0.007496708565534273
Cd_3,0.01872551167592165
Cd_4,0.02297502797680481
Cd_5,0.028698636829596762
Cd_6,0.038183432319671966
Zn_1,-0.02380620068297004
Zn_2,0.0036015760793739102
Zn_3,0.06883693296794187
Zn_4,0.11657948983116095
Zn_5,0.2276623675184464
Zn_6,0.1075275295897024
Cu_1,0.009981300620128851
Cu_2,0.019626479991730332
Cu_3,0.023588864042052196
Cu_4,0.022815192933126654
Cu_5,0.024413940536107685
Cu_6,0.037009840152618455
Pb_1,0.007947388738365766
Pb_2,0.017508480763076834
Pb_3,0.03730660855490031
Pb_4,0.050487073145557546
Pb_5,0.05576901841504864
Pb_6,0.06899672710903915
