,mug
Cr_1,0.00653542921091527
Cr_2,-0.011472396103388429
Cr_3,-0.022877882215107448
Cr_4,0.014511437495651128
Cr_5,0.028480777834659975
Cr_6,0.008824045753360295
Fe_1,0.029761883397713525
Fe_2,0.02828185454592452
Fe_3,0.00693561475785379
Fe_4,-0.03871949792953448
Fe_5,-0.07797745566078951
Fe_6,-0.10845984630496988
Cd_1,0.0020489719135485924
Cd_2,0.005163901199678708
Cd_3,0.008700451439913126
Cd_4,0.013790195264382672
Cd_5,0.013355517836700642
Cd_6,0.01756041794961516
Zn_1,0.0003546005655457358
Zn_2,-0.001935750465753745
Zn_3,0.013210359227965469
Zn_4,0.04201867081079858
Zn_5,0.06922800708136499
Zn_6,0.08825155967193161
Cu_1,0.010833100977105516
Cu_2,0.0023580948541073754
Cu_3,0.003177358306897117
Cu_4,0.02244135997549626
Cu_5,0.03218036423075242
Cu_6,0.02248505884268605
Pb_1,0.0046834691620529535
Pb_2,0.01451508378076289
Pb_3,0.026627796393499818
Pb_4,0.04228919098287107
Pb_5,0.057727981329420676
Pb_6,0.0727357183903185
