,A,PrpR,RpoN,Cra
R2,,0.2882883580835799,0.005030724380544083,0.005006630902394171
xmin,,-3.063900618,-2.3873792415,-7.2746930645
xmid,,-0.376975613290127,0.0956661044752806,-0.11536293473737248
xmax,,4.295996096,1.0586750145,2.0021776035
ystart,,0.6667243994864613,1.507501281051949,1.4928049175937703
yend,,14.683183548631307,3.4320394750014853,3.8238784402811405
control__wt_glc__1,0.18795113260000001,-0.25561642500000004,-0.0046102245,0.0308891915
control__wt_glc__2,-0.18795113260000001,0.25561642500000004,0.0046102245,-0.0308891915
fur__wt_dpd__1,4.1717651349,1.641835897,0.7030172055,-1.1877552405
fur__wt_dpd__2,5.2553903905,1.851613326,0.8161369585,-1.1737682105
fur__wt_fe__1,-0.057736827600000006,-0.103600699,-0.0984432415,-0.3327269625
fur__wt_fe__2,-0.2937660261,-0.12973636200000002,-0.0146245195,-0.2594009255
fur__delfur_dpd__1,2.1450251873,1.737561648,0.5910067835,-1.0912162295
fur__delfur_dpd__2,2.2256511813,1.532883701,0.7714851735,-1.0673563795
fur__delfur_fe2__1,-0.205486055,0.556301111,0.1582958355,-0.5522316355
fur__delfur_fe2__2,0.1271660933,0.6144506190000001,0.09519432950000001,-0.5848465775
acid__wt_ph5__1,1.2316601001,0.6780440010000001,0.1518490055,-0.23737093050000002
acid__wt_ph5__2,1.2000240211,0.5220660420000001,0.22540910150000001,-0.24076136350000002
acid__delgadx_ph5__2,0.5346109491000001,0.391643469,0.2189185305,-0.2069328745
acid__delgadw_ph5__1,0.0651215171,0.648193894,0.1845077045,-0.28221490650000003
acid__delgadw_ph5__2,0.3017204488,0.509561134,0.1457626175,-0.2312081875
acid__delgade_ph5__1,0.706532153,0.847478681,0.16061627050000002,-0.1426848045
acid__delgade_ph5__2,0.8939794105000001,0.9690004230000001,0.23216701250000002,-0.2107098605
oxidative__wt_pq__1,3.3327235041,1.799813931,0.4468107435,-0.9948958295
oxidative__wt_pq__2,3.2470636502,1.7818368150000001,0.3896680745,-1.0895483045
oxidative__deloxyr_pq__1,1.1572120077,1.596827315,0.3630092975,-0.22714133450000001
oxidative__deloxyr_pq__2,1.4710247516,1.436299751,0.36022816350000003,-0.1089024705
oxidative__delsoxr_pq__1,2.6217199267,1.642705216,0.45338366350000003,-0.8179514835
oxidative__delsoxr_pq__2,2.8053915936,2.033346484,0.43859741750000003,-0.8006893435
oxidative__delsoxs_pq__1,2.5495777905,2.164083071,0.6504048325,-1.1173508365
oxidative__delsoxs_pq__2,2.040169759,2.12834971,0.6203968145000001,-0.9308994235
nac_ntrc__wt_csn__1,5.7089054121,1.084555779,0.3878049415,-0.2068408135
nac_ntrc__wt_csn__2,5.2263029205,0.9525891,0.38617062950000003,-0.2683508555
nac_ntrc__wt_cytd__1,6.391275079,0.861893066,0.1780138735,-0.0824133625
nac_ntrc__wt_cytd__2,6.0119034142,0.7986523910000001,0.14013047450000002,-0.1677115365
nac_ntrc__wt_gln__1,8.3826537243,1.283951813,0.38755840750000004,0.0801267355
nac_ntrc__wt_gln__2,7.871390098,1.252053037,0.3112008835,0.0043702345
nac_ntrc__bw_delnac_csn__1,5.3547808159,1.3302603290000001,0.6216542455,-0.3579043765
nac_ntrc__bw_delnac_csn__2,5.5255924345,1.183162691,0.8497727805,-0.1233860915
nac_ntrc__bw_delnac_cytd__1,5.6196192027,0.368284157,0.1636119455,-0.18457792450000002
nac_ntrc__bw_delnac_cytd__2,5.679606033,0.398370408,0.2066971445,-0.21771202550000002
nac_ntrc__bw_delnac_gln__1,7.2373273738,1.116289011,0.3080251985,-0.058414558500000005
nac_ntrc__bw_delnac_gln__2,7.4389633762,1.014323249,0.2967956055,0.0276207205
nac_ntrc__bw_delnac_nh4__1,-0.1202464468,-1.223467412,-0.2040379745,-0.1843641365
nac_ntrc__bw_delnac_nh4__2,0.8102320667,-0.625276081,-0.2513449025,-0.2454034005
misc__wt_no_te__1,1.1115570077,0.7683424640000001,0.4210455765,-0.46721748750000003
misc__wt_no_te__2,0.1129250527,0.565425499,0.3409092855,-0.2667226935
misc__bw_delcbl__1,1.1852764925,-0.331034818,0.26062700850000003,-0.2915494965
misc__bw_delcbl__2,0.7695987966000001,-0.40474906,0.3284104245,-0.28677707750000003
misc__bw_delfabr__1,0.5475858852000001,-0.80026221,0.12483548650000001,-0.2201390145
misc__bw_delfabr__2,0.6169345102,-1.182735318,0.1031144385,-0.3216772765
misc__bw_delfadr__1,1.0152553421,0.028282594,0.2262561375,-0.2075440335
misc__bw_delfadr__2,0.6681210401000001,-0.017254620000000002,0.2539545305,-0.1982028295
misc__nitr_031__1,4.1430427071,0.9244508210000001,0.3646965855,-0.2527009105
omics__wt_glu__1,1.3411425595,-0.023703095,0.2962516995,0.2896546635
omics__wt_glu__2,0.617815656,-0.24607383100000002,0.4666522205,0.1785036485
omics__wt_gly__1,0.9106732951000001,-0.13773163,0.08866842550000001,0.0584354255
omics__wt_gly__2,1.4107761318,0.31509327800000003,0.0568323675,0.08485717250000001
omics__wt_thr__1,5.4191146127,0.890917668,0.7135937785,0.6122284505000001
omics__wt_thr__2,4.2179855319,0.183982787,0.7710917565000001,0.6146578485
omics__bw_ac__1,1.2775786267,2.192459276,0.2626952735,0.8817667035000001
omics__bw_ac__2,1.7137948913,2.207109483,0.2125339715,0.8924773015
omics__bw_fum__1,1.0455736958,0.694802137,-0.0719943285,0.5877983865
omics__bw_fum__2,0.3408760344,0.728881356,-0.1321674075,0.5226877135
omics__bw_glc__1,-0.1889258636,0.037185176,0.08772091650000001,0.0273994885
omics__bw_glc__2,-0.4120728722,0.06406247500000001,0.0866318205,0.0728779705
omics__bw_pyr__1,-1.4457674236,1.050485216,0.13049388650000002,0.4805777875
omics__bw_pyr__2,0.041356766100000004,1.3146270979999999,0.0750394705,0.5675752305
ompr__wt_nacl__1,3.2468663804,0.9499002990000001,0.8458476445,-1.5929679745
ompr__wt_nacl__2,2.5433331595,1.267777024,0.7361582905,-1.7497737265
ompr__bw_delompr_nacl__1,2.6771875806,0.267392216,0.3376980425,-1.7213951165
ompr__bw_delompr_nacl__2,3.4715669153,0.46053391400000004,0.3812324995,-1.8707998295000001
minspan__wt_ade__1,-1.2704137711999999,-0.673295501,-0.23121805050000002,-0.4489845905
minspan__wt_glc__2,-0.0576310094,-0.393021233,-0.2809332425,-0.2207924055
minspan__wt_glc__3,-0.21974695600000002,-0.12152232900000001,-0.2902247825,-0.1532301705
minspan__wt_glc__4,-0.4935595109,-0.37699881500000004,-0.2054288275,-0.1654427225
minspan__wt_glc_anaero__1,-0.0214660944,-2.385260803,0.0389202145,0.7999081985000001
minspan__wt_glc_anaero__2,0.3788895265,-3.063900618,0.0609900175,1.1722754415
minspan__wt_trp__1,-0.5288706091,-2.4378449030000002,0.1072953325,0.4102215775
minspan__bw_delcra_glc__2,-0.08090798020000001,-2.077946545,0.0527145325,-6.3602353955
minspan__bw_delcra_trp__1,0.4693035991,-1.6442059050000002,0.1089791855,-4.7930176055
minspan__bw_delmntr__1,-0.29830995200000004,-2.422050812,0.2383428175,0.5425909545000001
minspan__bw_delnac_ade__1,-0.5316589943,-0.010928932,0.0018527365,-0.7930149015
minspan__bw_delnac_glc__1,0.32193337450000004,-0.17042344,-0.3356794605,-0.0986223765
cra_crp__wt_ac__1,10.4577234446,1.8948312999999999,0.1917987605,0.9012172285000001
cra_crp__wt_ac__2,10.6754099993,1.862504955,0.1532170935,1.1057735505
cra_crp__wt_fru__1,1.3422021857,0.512123976,0.2657675905,0.7123657575
cra_crp__wt_fru__2,1.0732417781,0.592640088,0.3237425105,0.47676490250000003
cra_crp__delcra_ac__1,5.1474513088,2.019514291,-0.023381640500000002,-7.2746930645
cra_crp__delcra_ac__2,4.7570502418,1.989747752,-0.1429831305,-7.2746930645
cra_crp__delcra_fru__1,0.6328075276,0.423886702,0.10736111150000001,-7.2746930645
cra_crp__delcra_fru__2,0.31117516170000004,0.285419988,0.12499276150000001,-7.2746930645
cra_crp__delcra_glc__1,-0.0500935631,-0.15766322900000002,-0.0261596815,-7.2746930645
