,ycaD
Cr_1,-0.011606073637500727
Cr_2,-0.01818932965853615
Cr_3,-0.027288010348578442
Cr_4,-0.03591516677442248
Cr_5,-0.04221840655693799
Cr_6,-0.0503770914400961
Fe_1,-0.02415276370674456
Fe_2,-0.05122565885651825
Fe_3,-0.07239335290308056
Fe_4,-0.09511075300744776
Fe_5,-0.10452437748565134
Fe_6,-0.10965725344909846
Cd_1,0.003960521250531367
Cd_2,0.008215094843240728
Cd_3,0.01029300204100454
Cd_4,0.011100051980951759
Cd_5,0.008301764904984427
Cd_6,0.011260411261349848
Zn_1,-0.003195751610520845
Zn_2,-0.005090120741651855
Zn_3,-0.0035577074832347905
Zn_4,-0.005050591178833803
Zn_5,-0.0065861639672276494
Zn_6,-0.012208017634709346
Cu_1,0.009503889743781144
Cu_2,0.02351601051136561
Cu_3,0.029481146213193823
Cu_4,0.034896815288490354
Cu_5,0.04166001658219983
Cu_6,0.04906486876920057
Pb_1,0.0012241114485338574
Pb_2,0.005518189717392806
Pb_3,0.011035703633410872
Pb_4,0.014877778498554681
Pb_5,0.01906034451830528
Pb_6,0.02486373052835674
