,rfe
Cr_1,0.004625669876755432
Cr_2,0.021677552258795998
Cr_3,0.043413517915917084
Cr_4,0.053363393680492026
Cr_5,0.06307613449465177
Cr_6,0.08136887719318726
Fe_1,-0.02997228396337837
Fe_2,-0.06596883011273554
Fe_3,-0.10158318176318797
Fe_4,-0.1275723031236856
Fe_5,-0.15459272989706208
Fe_6,-0.180070451191785
Cd_1,0.006763506877881145
Cd_2,0.020411762698839826
Cd_3,0.03011426593808528
Cd_4,0.034110064672045186
Cd_5,0.04020298347442503
Cd_6,0.053964790176188736
Zn_1,0.0037056916939741703
Zn_2,-0.00489855866932992
Zn_3,0.002554832216844357
Zn_4,0.010944432762893978
Zn_5,0.025493141325066703
Zn_6,0.032099969801360595
Cu_1,0.011367817066168635
Cu_2,0.021464290955569124
Cu_3,0.02852826297240644
Cu_4,0.039902079357808415
Cu_5,0.04001607179019481
Cu_6,0.044549370984681175
Pb_1,0.004359742660478279
Pb_2,0.009964762751392136
Pb_3,0.023857831186849643
Pb_4,0.0392453697333456
Pb_5,0.04964339002169543
Pb_6,0.06829703295415318
