,-0.1089171048,-0.09076425399999999,-0.07261140319999998,-0.05445855239999997,-0.03630570159999996,-0.018152850799999953,5.551115123125783e-17,0.018152850800000064,0.03630570160000007,0.05445855240000008,0.07261140320000009,0.0907642540000001,0.10891710480000011,0.12706995560000012,0.14522280640000013,0.16337565720000014,0.18152850800000014,0.19968135880000015,0.21783420960000016,0.23598706040000017
thresh,-0.045382127,0.045382127,6,,,,,,,,,,,,,,,,,
unreg,1,0,0,0,10,474,3533,257,38,7,4,2,3,2,0,0,0,0,0,0
CcpN,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CcpA,0,0,0,0,6,9,47,15,18,4,2,0,0,0,0,0,0,0,0,0
SigA,0,1,2,0,8,165,922,76,9,1,4,0,0,0,0,0,0,0,0,0
CcpN and SigA,0,0,0,0,0,0,2,3,0,0,0,1,0,0,1,1,0,0,0,0
CcpA and SigA,0,0,0,0,1,14,94,55,32,30,12,3,4,0,0,0,0,0,0,0
unreg_genes,['S505'],[],[],[],[],[],[],[],[],['S150' 'S385' 'S744' 'S1514' 'S222' 'S381' 'yncC'],['S1107' 'S858' 'S438' 'S345'],['S637' 'S346'],['S476' 'ykoM' 'yerA'],['yrbE' 'S950'],[],[],[],[],[],[]
CcpN_genes,[],[],[],[],[],[],['dfrA' 'thyB'],[],[],[],[],[],[],[],[],[],[],[],[],[]
CcpA_genes,[],[],[],[],['S236' 'opuE' 'S1486' 'acoA' 'acoL' 'acoB'],['S786' 'acoC' 'S543' 'pftB' 'S515' 'S876' 'ykuJ' 'S583' 'ykuK'],"['ctaB' 'topA' 'cydA' 'yslB' 'refZ' 'cwlS' 'S542' 'S1339' 'S973' 'yopL'
 'S1487' 'ldt' 'yvmA' 'cydD' 'yfkN' 'pchR' 'S1128' 'S514' 'cydC' 'scoB'
 'yqxJ' 'scoA' 'serA' 'S1334' 'levG' 'S513' 'S785' 'yxjF' 'yqxI' 'S1451'
 'S1019' 'yvnA' 'yozM' 'mmgF' 'mmgB' 'S748' 'levF' 'mmgC' 'hbuT' 'abbA'
 'phrF' 'levE' 'rapF' 'galK' 'mmgA' 'mmgD' 'pftA']","['cydB' 'mmgE' 'S1337' 'levD' 'sacC' 'yesN' 'pel' 'S1500' 'sucD' 'S516'
 'sucC' 'S725' 'darB' 'S544' 'sigL']","['S1050' 'S1460' 'yesM' 'ctaG' 'rocG' 'yhaR' 'S1461' 'galT' 'ctaF' 'yobO'
 'bofC' 'ctaE' 'ctaC' 'yxkF' 'ypiF' 'ctaD' 'yesL' 'cimH']",['dprA' 'S727' 'csbX' 'S1490'],['S517' 'msmX'],[],[],[],[],[],[],[],[],[]
