,yhcM
Cr_1,0.0012591950443243507
Cr_2,-0.0043591570082413215
Cr_3,-0.0025537683170473733
Cr_4,0.006103464764132768
Cr_5,0.009481384091038478
Cr_6,0.003270523462125341
Fe_1,-0.02895781776483275
Fe_2,-0.06904601397824556
Fe_3,-0.10984148269038796
Fe_4,-0.14911318615527566
Fe_5,-0.1717736443721251
Fe_6,-0.1834663773279497
Cd_1,-0.006367822656510637
Cd_2,-0.012512199709087256
Cd_3,-0.01584751777786081
Cd_4,-0.013647765685909316
Cd_5,-0.010913653471870805
Cd_6,-0.0033615760641144397
Zn_1,-0.01943008249816122
Zn_2,-0.0045928455494972905
Zn_3,0.1195274227377814
Zn_4,0.4331582296925172
Zn_5,0.6508319841522746
Zn_6,0.12623562203889674
Cu_1,0.006597373135643651
Cu_2,0.02319108751194709
Cu_3,0.037398123947657666
Cu_4,0.05216446907962916
Cu_5,0.06388555696441077
Cu_6,0.0781418384723863
Pb_1,-0.0011943890592175908
Pb_2,0.000713444346443267
Pb_3,0.01752478587458034
Pb_4,0.03502790251211893
Pb_5,0.04879139398169557
Pb_6,0.0630960991910763
