,A,sigB
R2,,0.15102660466428386
xmin,,9.7276
xmid,,
xmax,,16.1633
ystart,,6.815365665852795
yend,,-15.01156707637034
LBexp_1,3.3337524475599998,12.4106
LBexp_2,2.41430692649,12.364
LBexp_3,0.0547284043906,12.2772
LBtran_1,1.21865798813,12.7342
LBtran_2,-0.923948085865,12.9314
LBtran_3,-1.8654881025299999,12.9969
LBstat_1,-0.569192055399,12.0424
LBstat_2,-3.6252068363300003,12.1336
LBstat_3,-6.72136496623,11.874
LBGexp_1,1.3590233761700001,12.325
LBGexp_2,2.12904224834,11.8148
LBGexp_3,0.701423661171,12.2271
LBGtran_2,-3.22938081255,13.4333
LBGtran_3,0.73870156984,12.3669
LBGstat_1,-1.31778782933,10.8179
LBGstat_2,-3.45066160214,10.6935
LBGstat_3,-2.87926642033,11.0758
S0_1,-7.8496608072,13.892
S0_2,-8.82210622889,13.4982
S0_3,-10.8358852782,13.7071
S1_1,3.41421309386,12.6646
S1_2,2.77762099446,12.5285
S1_3,5.34860368987,12.8984
S2_1,-1.13800297591,12.3596
S2_2,-0.501599899468,12.2826
S2_3,-0.892513696327,12.3289
S3_1,-3.26669354071,11.8293
S3_2,-1.25560892284,11.8747
S4_1,-3.7278705557199996,11.5994
S4_2,-4.22801692882,11.6815
S4_3,-4.80912039191,11.216
S5_1,-6.918461883180001,11.0484
S5_2,-5.849992465700001,11.5622
S5_3,-5.848197172560001,11.4943
S6_1,-9.75393032,10.7619
S6_2,-18.3773530065,10.3038
S6_3,-6.872382898089999,11.1371
S6/t_1,-12.8781134852,10.4833
S6/t_2,-17.2797987848,9.7276
S6_4,-13.1209893196,10.6216
S6_5,-11.3035727251,11.2314
S6_6,-10.7596142022,11.2573
S7_4,-14.916473930599999,10.923
S7_5,-16.1137591376,10.6785
S7_6,-16.0531465239,10.9202
S8_4,-15.9280073304,10.5108
S8_5,-18.8233253371,10.1081
G135_1,-2.76073803204,12.7013
G135_3,-6.70401216493,10.7602
G150_1,-1.87336146099,12.2028
G150_2,1.1499625681399999,12.8845
G150_3,-2.1289456974200003,12.6936
G180_1,-2.80695044905,12.2062
G180_2,0.21557872830299998,12.6073
G180_3,-3.0198082072,11.5019
C30_1,-7.74549281,11.565
C30_2,-6.73849169621,11.5627
C90_1,-6.23138823479,11.5448
C90_2,-0.298279281999,11.8697
BI_1,3.62683555073,13.2865
BI_2,1.40763166072,13.9992
BC_2,-8.09359495368,15.3452
BC/t_1,-5.4722741059599995,14.249
BC/t_2,-10.537460020900001,15.204
BC_1,-4.86364398279,14.1258
Sw_1,-25.292840325300002,15.9197
Sw_2,-27.2664627072,16.0643
BT_1,-11.144723754200001,12.7579
BT_2,-10.1026555096,12.0889
B36_1,-9.822271067660001,15.232
B36_2,-8.60232918595,14.8227
B60_1,-15.7399948929,14.8699
B60_2,-21.946249703000003,15.113
M9exp_1,-1.1105760077,14.1592
M9exp_2,-1.83344755892,13.8235
M9exp_3,2.94402356662,12.1887
M9tran_1,1.9370635721,12.1568
M9tran_2,0.8858171444410001,12.1464
M9tran_3,0.547603124708,13.2958
M9stat_1,-10.5403309754,11.6147
M9stat_2,-19.8522234147,13.2315
M9stat_3,-19.4335032392,13.3761
M+G_1,-7.04262806754,12.2441
M+G_2,1.50423977364,12.3017
M+G_3,0.0903684856085,12.4308
Glu_1,0.6467518248659999,12.6852
Glu_2,-5.78165492601,14.0893
Glu_3,2.36037299362,12.9415
Fru_1,-1.01900691198,13.5671
Fru_2,1.01246077097,12.803
Fru_3,0.3453595194870001,11.9105
Mal_1,-8.59705689642,13.0966
Mal_2,-0.434326594924,12.4257
Mal_3,-8.90776179546,13.8543
G+S_2,-1.18130017114,11.7912
G+S_3,-0.988803311112,12.0261
Pyr_1,-6.11805110444,12.423
Pyr_2,-1.87960316128,12.1519
Pyr_3,-4.936765051530001,11.9466
Gly_1,-28.6317649517,13.8565
Gly_2,-30.722933055100004,14.5787
Gly_3,-27.8457463797,13.7709
Glucon_1,-5.543908968359999,12.2166
Glucon_2,-2.7027913139099997,12.8
Glucon_3,-5.15514334752,12.3846
aero_1,5.5380662663499995,12.8236
aero_2,-1.3367535349200002,12.3626
aero_3,1.93994563849,13.2809
nit_1,-1.28429608856,12.0707
nit_2,2.16511463913,12.3549
nit_3,-0.931324080815,12.3002
ferm_1,-2.1260977545400004,11.7321
ferm_2,0.5036200312219999,11.7519
ferm_3,0.4154018170660001,12.4707
T-5.40H_1,5.54446823834,12.993
T-4.40H_1,4.82063780561,12.8783
T-3.40H_1,4.95397543191,12.5519
T-2.40H_1,3.8838740803900023,12.5796
T-1.40H_1,4.31416614116,12.4167
T-1.10H_1,5.426696635680001,12.45
T-0.40H_1,4.83302816,12.4747
T0.0H_1,4.01603687438,12.5989
T0.30H_1,-3.0990141372299997,11.7677
T1.0H_1,-1.65567546061,11.0571
T1.30H_1,-2.59366601273,10.5606
T2.0H_1,-2.9824213726099997,10.9521
T2.30H_1,0.58653476335,11.9846
T3.0H_1,-0.457716089532,11.4666
T3.30H_1,-0.385847453792,12.0957
T4.0H_1,0.781075734075,12.081
T5.0H_1,-3.11615046926,11.5708
HPh_1,1.10194253308,12.7861
HPh_2,1.92930451857,12.6841
HPh_3,1.8306516441299998,12.3213
LPh_1,-6.645994205449999,14.4973
LPh_2,4.39575838734,13.4334
LPh_3,2.03536016762,12.6776
LPhT_1,-11.1914352258,14.0094
LPhT_2,-15.185219016400001,14.5957
LPhT_3,-11.0289057292,14.4791
SMMPr_1,3.5243704495699997,12.4245
SMMPr_2,3.0267634822900003,12.5353
