,Value,list
TF,SigB,
reg_genes,315,"['ydaE' 'S268' 'yfkJ' 'S448' 'S1134' 'yxjI' 'csbD' 'S1078' 'hpf' 'S618'
 'S1477' 'yxaB' 'yocB' 'S1097' 'fin' 'rplGA' 'yjgC' 'ymaE' 'yqhB' 'recO'
 'yoxC' 'S957' 'ycdG' 'ywzA' 'ssrA' 'S410' 'yfkT' 'csbC' 'ydhK' 'ydbD'
 'yfkI' 'yflI' 'yczO' 'S34' 'ywmF' 'rbfA' 'S686' 'S1431' 'S141' 'rsbV'
 'yybO' 'dctB' 'yjbC' 'yhdF' 'phoR' 'ydaG' 'S408' 'aldY' 'aag' 'spoVC'
 'spx' 'S464' 'yjiC' 'ywsB' 'yebG' 'S1199' 'yqhQ' 'S409' 'ywjA' 'iolW'
 'ykzN' 'S1370' 'opuE' 'guaD' 'yerD' 'yceF' 'rsbT' 'yceC' 'S1363' 'ywmE'
 'S45' 'yacL' 'ydaD' 'ywjC' 'ydaT' 'bmrR' 'S1018' 'yfhK' 'S427' 'S396'
 'S1173' 'rnr' 'yhxD' 'yfkR' 'cdd' 'rsbS' 'ydaP' 'yvaK' 'ykgB' 'yfhL'
 'S1383' 'yktC' 'secG' 'radA' 'S936' 'plsC' 'S1343' 'katX' 'S927' 'ycdF'
 'rsbX' 'ydzE' 'spo0E' 'ytfP' 'ytkC' 'S272' 'opuD' 'mhqO' 'ctc' 'yuzH'
 'S273' 'dacC' 'S106' 'yycD' 'ytxH' 'nusA' 'S236' 'ydeC' 'yvzE' 'yhdN'
 'yfkQ' 'ylxS' 'infB' 'phoP' 'S105' 'ctsR' 'galM' 'menC' 'yfkS' 'ygxB'
 'S1136' 'rsbR' 'ywsA' 'S1367' 'S592' 'yfhD' 'S1286' 'yceG' 'S1088'
 'S1153' 'ypuB' 'ydaK' 'S318' 'katE' 'S266' 'S1285' 'S1362' 'ytxJ' 'ykuT'
 'yflA' 'S267' 'ydaN' 'S537' 'smpB' 'csbB' 'yfhO' 'disA' 'yceH' 'clpC'
 'S1117' 'ymzB' 'S365' 'S687' 'S468' 'S883' 'sigB' 'S293' 'nhaX' 'ipi'
 'yceD' 'ytiB' 'ycbP' 'S295' 'S1287' 'ispF' 'ydaL' 'yqhP' 'mcsB' 'yvbG'
 'mcsA' 'S1378' 'yxaA' 'yjzE' 'yfhM' 'ypuC/2' 'ysnF' 'bofC' 'S110' 'ydaJ'
 'S1192' 'S276' 'yyzG' 'yjiB' 'yoxB' 'yflH' 'S446' 'ywlB' 'csbX' 'S1418'
 'gabD' 'S1277' 'ytxG' 'S1318' 'ydaF' 'yvgO' 'S1384' 'S98' 'chaA' 'yflT'
 'rsbU' 'luxS' 'yuzA' 'ypuD' 'ispD' 'dps' 'yraA' 'S1556' 'S1530' 'ohrB'
 'ytkK' 'ykzC' 'ysdB' 'yfhE' 'cypC' 'yjgB' 'ylxR' 'S928' 'yqzL' 'yaaH'
 'era' 'yflG' 'yxkO' 'yfkD' 'gspA' 'clpP' 'S395' 'mhqP' 'S294' 'menE'
 'yfkH' 'yhcM' 'yceE' 'S1319' 'rsbW' 'yisP' 'S593' 'yxzF' 'S1171' 'yydC'
 'ypuC/1' 'ytkL' 'ydaM' 'yflD' 'yflB' 'rsbRD' 'yvgN' 'ywiE' 'S1116' 'yxnA'
 'sodA' 'ylxP' 'S190' 'S1539' 'S1050' 'yvrE' 'S292' 'trxA' 'nadE' 'S261'
 'yqjL' 'yoaA' 'yfkM' 'S1350' 'rpmEB' 'S1446' 'S1152' 'bmr' 'ywtG' 'yjgD'
 'yxjJ' 'ydaS' 'ywjB' 'S148' 'yxiS' 'gtaB']"
comp_genes,50,"['S139' 'S339' 'S931' 'S1358' 'S450' 'S1409' 'yjlB' 'S1193' 'S9' 'S680'
 'S572' 'S1064' 'S970' 'ydjJ' 'S163' 'S1243' 'S749' 'S123' 'S164' 'S555']"
both_genes,30,"['S1496' 'yugU' 'yebE' 'ybyB' 'S1342' 'S926' 'ydaC' 'gsiB' 'csbA' 'mgsR'
 'bmrU' 'yyzH' 'yitT' 'yocK' 'S1379' 'S1417' 'S269' 'yaaI' 'S230' 'ykgA'
 'S536' 'ykzI' 'S97' 'S1497' 'yxbG' 'yfhF' 'ytaB' 'S490' 'S489' 'corA']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,153,
comp_ops,21,
both_ops,19,
