,Value,list
TF,nac,
reg_genes,518,"['fbaA' 'ypdA' 'ynfB' 'napD' 'rep' 'map' 'yojI' 'yegR' 'ycbF' 'sucC'
 'adeP' 'hflK' 'raiA' 'speC' 'lrp' 'yraH' 'glmM' 'waaP' 'tolA' 'rsd'
 'lplA' 'tsaE' 'elfG' 'pldA' 'wecF' 'uspG' 'leuD' 'gatZ' 'sdhC' 'yjbB'
 'yaiZ' 'ycgJ' 'waaB' 'yihD' 'rutE' 'sbcB' 'napB' 'mdtL' 'dmsC' 'mdtG'
 'rffG' 'cobS' 'wcaJ' 'xapR' 'gspK' 'dedA' 'waaL' 'glpT' 'ynfF' 'ratB'
 'ygeX' 'spoT' 'nanK' 'wcaF' 'lolD' 'ypdC' 'yidQ' 'ccmA' 'rutD' 'csiE'
 'cysQ' 'yafE' 'yiaD' 'glxK' 'wcaC' 'ymjA' 'sdhB' 'gdhA' 'waaG' 'srlE'
 'ydcJ' 'ilvL' 'wecD' 'cpsB' 'ybdR' 'hyfD' 'glcF' 'amiD' 'ygiS' 'yqiA'
 'ribD' 'leuA' 'rlmL' 'curA' 'prmB' 'yafD' 'lolE' 'gatD' 'lhgO' 'waaY'
 'ybeY' 'moaE' 'ycdT' 'hyfI' 'cynT' 'cobU' 'rutA' 'ybjQ' 'recF' 'htpG'
 'lpxH' 'yihO' 'wzxC' 'znuC' 'nudF' 'ompR' 'gcvT' 'mepA' 'sucA' 'wzxB'
 'dsbB' 'malY' 'pheT' 'ddlA' 'folP' 'ynfG' 'ompT' 'ybfC' 'uspC' 'waaR'
 'yfcO' 'gspL' 'glpQ' 'pntB' 'wcaE' 'lysR' 'ibpB' 'gspF' 'pyrI' 'leuB'
 'kduI' 'yjbQ' 'ybgC' 'ccmC' 'pabC' 'dapD' 'dmsB' 'wecE' 'ribE' 'wcaG'
 'ispB' 'stfR' 'marA' 'ddpF' 'pheS' 'napC' 'napF' 'srlD' 'ybaL' 'rnpA'
 'yhbV' 'msrA' 'srlB' 'torC' 'rplU' 'waaZ' 'mreB' 'ynfH' 'codA' 'lepB'
 'gcvP' 'rpmH' 'nanE' 'hyfR' 'cydA' 'ddpD' 'gmk' 'wecA' 'lptE' 'hyfF'
 'yobF' 'moaC' 'queE' 'tdcC' 'ihfA' 'mntS' 'secG' 'pdxB' 'araF' 'csiD'
 'tdcF' 'rutF' 'bfd' 'oppC' 'tdcB' 'pck' 'sdhD' 'oppB' 'rhsO' 'cmtA'
 'infC' 'aaeR' 'tamB' 'ybgF' 'oppA' 'tolR' 'moaD' 'napH' 'gspG' 'glcA'
 'marC' 'ecnB' 'ebgR' 'tdcA' 'ydeP' 'dmsD' 'yhbS' 'ccmF' 'yraQ' 'ppc'
 'allR' 'asnC' 'ytfP' 'abgT' 'yecD' 'napA' 'moaB' 'ycbV' 'narK' 'mreC'
 'sucD' 'ccmH' 'araH' 'sdiA' 'holB' 'wecG' 'ygdH' 'ybeZ' 'smrA' 'rpoZ'
 'mntH' 'ddpB' 'ratA' 'waaQ' 'yieH' 'wrbA' 'araG' 'infA' 'znuB' 'wza'
 'waaC' 'yafP' 'tolQ' 'hflC' 'nrdR' 'yghF' 'nusB' 'aroD' 'gudD' 'waaF'
 'cobC' 'uup' 'yejG' 'yfeS' 'wecC' 'envY' 'ccmB' 'dsbE' 'yfcL' 'yjcB'
 'rutB' 'recG' 'rffH' 'lolC' 'nanT' 'ddpA' 'hemL' 'ftnB' 'holA' 'phoH'
 'usg' 'ddpC' 'rplT' 'yggF' 'ppiB' 'hupA' 'pgaB' 'waaO' 'ddpX' 'srlM'
 'gatA' 'ydeJ' 'hldD' 'pgaD' 'yebZ' 'tusA' 'tsf' 'borD' 'pgpA' 'cydB'
 'yecE' 'cspC' 'caiF' 'yafN' 'rutC' 'tdcE' 'trmH' 'truA' 'glnD' 'deoR'
 'cdaR' 'lysP' 'ycbU' 'ycfH' 'yaiY' 'mglC' 'nadD' 'glcD' 'xanQ' 'mnmG'
 'tamA' 'yhbU' 'gudX' 'rlmF' 'ydiO' 'tdcD' 'hflX' 'moaA' 'mreD' 'gcvH'
 'wzyE' 'cysS' 'tolB' 'wzxE' 'pgk' 'gltA' 'hyfB' 'cpdB' 'bfr' 'parE'
 'waaS' 'ybhI' 'cpsG' 'bglX' 'yggP' 'phr' 'yaeI' 'dnaN' 'gadE' 'envZ'
 'mioC' 'gmd' 'yihP' 'ugd' 'ydiV' 'pfkA' 'uspB' 'dsbA' 'yqfB' 'glcB'
 'abgA' 'pal' 'ydiB' 'wcaD' 'ogt' 'mglB' 'yhbT' 'wcaI' 'cynS' 'rfbC'
 'wecB' 'prfC' 'yhcH' 'gltF' 'ytjB' 'yceG' 'cobT' 'lepA' 'metR' 'dtpA'
 'chrR' 'ibpA' 'speG' 'argO' 'trxB' 'rpmI' 'ldtC' 'gudP' 'wcaH' 'mglA'
 'tyrA' 'yjcO' 'yccJ' 'pgaA' 'metE' 'waaU' 'yebY' 'leuS' 'thiL' 'yhbY'
 'srlR' 'wzc' 'nupC' 'ubiC' 'malX' 'gspO' 'yfeK' 'dnaA' 'yebQ' 'yggD'
 'pyrL' 'gltP' 'dppC' 'cpdA' 'insH1' 'yijO' 'leuC' 'pntA' 'dmsA' 'yfcA'
 'ppiC' 'amiB' 'tmk' 'glcG' 'ompA' 'yjgM' 'pyrB' 'focB' 'yfgG' 'ydiF'
 'epd' 'oppF' 'yfbV' 'yjjZ' 'ypdB' 'ybdK' 'yqiB' 'thrS' 'abgB' 'yncG'
 'dld' 'yggC' 'srkA' 'fhuF' 'srlQ' 'yafO' 'ynfE' 'sdhA' 'rutG' 'yegH'
 'glcE' 'cfa' 'fklB' 'mdtE' 'pgaC' 'rpmA' 'rfbA' 'marR' 'elfC' 'yffR'
 'ansB' 'ygcS' 'napG' 'gspD' 'ivy' 'yobA' 'yjeH' 'gatB' 'torD' 'torA'
 'hyfG' 'wzb' 'aroF' 'mdtF' 'mepS' 'oppD' 'aroC' 'osmB' 'yhjD' 'ubiA'
 'yigI' 'sucB' 'srlA' 'pfkB' 'ccmE' 'lysA' 'mutL' 'rpsB' 'argG' 'miaA'
 'hfq' 'yjbR' 'ycgY' 'epmC' 'tdcG' 'wzzE']"
comp_genes,37,['ybeQ' 'yrhB' 'yrdE_2' 'csiR' 'cycA']
both_genes,32,"['ydcU' 'cynR' 'abgR' 'gltB' 'serA' 'yedL' 'dppD' 'ompF' 'gabT' 'gltD'
 'shiA' 'yieE' 'patD' 'ygiL' 'ydcS' 'gabP' 'asnA' 'dppA' 'guaD' 'ydcT'
 'dppF' 'gabD' 'nanA' 'feaR' 'gspE' 'dppB' 'yhjE' 'gspC' 'ydcV' 'codB'
 'ghxQ' 'nac']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,243,
comp_ops,25,
both_ops,20,
