,nanR
Cr_1,-0.0026464207829284573
Cr_2,-0.007571471529954524
Cr_3,0.011389306052596509
Cr_4,0.024884254252832267
Cr_5,0.03463157226749008
Cr_6,0.035593212988288554
Fe_1,-0.001435130089489115
Fe_2,-0.0061504615892803705
Fe_3,-0.007144564485884422
Fe_4,-0.005896186316873529
Fe_5,-0.005633985388587931
Fe_6,-0.003952639107504277
Cd_1,-0.001715464716248607
Cd_2,-0.0001242630590523221
Cd_3,0.0061938700932250386
Cd_4,0.011358742509332337
Cd_5,0.006762348721537583
Cd_6,0.011411198825319204
Zn_1,-0.0032569314226230392
Zn_2,0.003244288315904545
Zn_3,0.018445006399366904
Zn_4,0.037565616000168695
Zn_5,0.0607329921491272
Zn_6,0.08458671267626251
Cu_1,0.0056663245634173244
Cu_2,0.015695118892923524
Cu_3,0.016733983622930597
Cu_4,0.017371765338606453
Cu_5,0.020425767913855357
Cu_6,0.027255758415884797
Pb_1,0.003789515253320768
Pb_2,0.01179686866245238
Pb_3,0.017550351606750413
Pb_4,0.014208327758761371
Pb_5,0.02450707648397026
Pb_6,0.03289813380590485
