,-0.14751751574313682,-0.13198935619122767,-0.11646119663931853,-0.10093303708740939,-0.08540487753550025,-0.0698767179835911,-0.05434855843168196,-0.038820398879772816,-0.023292239327863673,-0.00776407977595453,0.007764079775954613,0.023292239327863756,0.0388203988797729,0.05434855843168204,0.06987671798359119,0.08540487753550033,0.10093303708740947,0.11646119663931859,0.13198935619122776,0.14751751574313693
thresh,-0.07764079775954569,0.07764079775954569,1,,,,,,,,,,,,,,,,,
unreg,2,1,5,3,5,7,20,52,178,1577,1777,190,50,14,9,0,2,2,1,0
unreg_genes,['ABUW_2938' 'ABUW_1412'],['ABUW_2546'],['ABUW_1901' 'ABUW_1658' 'ABUW_2919' 'ABUW_1946' 'ABUW_1413'],['ABUW_1275' 'ABUW_2004' 'ABUW_2017'],['ABUW_1095' 'ABUW_1641' 'ABUW_1650' 'ABUW_3771' 'ABUW_0878'],[],[],[],[],[],[],[],[],[],[],[],['ABUW_1518' 'ABUW_2694'],['ABUW_1096' 'ABUW_3187'],['ABUW_1419'],[]
