,yidE
Cr_1,0.0012698182524418342
Cr_2,0.004844750163681247
Cr_3,0.005656316462948161
Cr_4,0.003953177438616243
Cr_5,0.0023279423632891877
Cr_6,0.0009259835937497386
Fe_1,-0.004021157647302533
Fe_2,-0.029935680758921605
Fe_3,-0.055175587302344335
Fe_4,-0.07866021791799438
Fe_5,-0.0968632546956218
Fe_6,-0.10455832271432004
Cd_1,-0.0007877531495725134
Cd_2,-0.001016565693481212
Cd_3,0.0006237468218524364
Cd_4,0.001966119682890991
Cd_5,-0.002907973283543293
Cd_6,0.0009456552757352273
Zn_1,-0.0012484237458687956
Zn_2,-0.002963843787186483
Zn_3,0.005464393120348583
Zn_4,0.0143621888612302
Zn_5,0.02948421702874206
Zn_6,0.04545240225254971
Cu_1,0.003508796698962753
Cu_2,0.0059494247874514045
Cu_3,0.01137015085227236
Cu_4,0.0121796238392392
Cu_5,0.013899752632404226
Cu_6,0.0194793281274068
Pb_1,0.006921957743160839
Pb_2,0.015461242028201497
Pb_3,0.02260508382957306
Pb_4,0.03337400682197593
Pb_5,0.03982471549985875
Pb_6,0.047816461619543414
