,yjcD
Cr_1,0.014995823331750252
Cr_2,0.021541805771315186
Cr_3,0.02623615932085045
Cr_4,0.030332885710120713
Cr_5,0.035080462475003384
Cr_6,0.040757998622456194
Fe_1,-0.001932863558619902
Fe_2,0.006910824419590936
Fe_3,0.04012575813161447
Fe_4,0.07966935569897322
Fe_5,0.12534720302010025
Fe_6,0.16938148166306147
Cd_1,0.00019919525012653485
Cd_2,-0.0004021012881779618
Cd_3,-0.002497644846005959
Cd_4,-0.005107042096121288
Cd_5,-0.007672457678921602
Cd_6,-0.001888733173396297
Zn_1,0.001458525595066833
Zn_2,0.007643241041309091
Zn_3,0.018089986439719555
Zn_4,0.027471298615100444
Zn_5,0.03428015987206723
Zn_6,0.03353856226394285
Cu_1,0.0021751038605553217
Cu_2,0.0070167104859775575
Cu_3,0.014863651781690228
Cu_4,0.025038283913151164
Cu_5,0.037294434174583696
Cu_6,0.049934085290904005
Pb_1,0.0007012182011437795
Pb_2,0.006819210489340672
Pb_3,0.01398810082884907
Pb_4,0.020236716965534744
Pb_5,0.025301768504398345
Pb_6,0.032814929898088555
