,pldB
Cr_1,0.0014741283499775325
Cr_2,0.005077214876218308
Cr_3,0.009852896610825588
Cr_4,0.014930193804878996
Cr_5,0.019723954176044257
Cr_6,0.023513862021773208
Fe_1,-0.01376262387818128
Fe_2,-0.025932326426234074
Fe_3,-0.033213805108580505
Fe_4,-0.04179803353793024
Fe_5,-0.04368594304127019
Fe_6,-0.041583963333953235
Cd_1,0.00038056797320889423
Cd_2,0.0026049812974689285
Cd_3,0.006853049799270743
Cd_4,0.009825058558135813
Cd_5,0.009162514244692695
Cd_6,0.014910155766356572
Zn_1,-0.00583175176905923
Zn_2,-0.008942902450718444
Zn_3,0.0017234646523240475
Zn_4,0.022647402225160637
Zn_5,0.04286340985864959
Zn_6,0.06052422088855928
Cu_1,0.003431160217602636
Cu_2,0.010978180908465831
Cu_3,0.017854642240202515
Cu_4,0.02612241473061689
Cu_5,0.03536829390553276
Cu_6,0.045638669358769285
Pb_1,-0.007381261044917161
Pb_2,-0.012749347227804207
Pb_3,-0.009538197653673327
Pb_4,-0.003673020601808738
Pb_5,0.006170297723511186
Pb_6,0.02012261316516249
