,ynfL
Cr_1,-0.0001502100121891337
Cr_2,0.0027825582925376765
Cr_3,0.005719742102840786
Cr_4,0.010527729954894836
Cr_5,0.010671513766228055
Cr_6,0.012186633921220642
Fe_1,-0.03785595343455463
Fe_2,-0.0865180835573654
Fe_3,-0.12800816836083076
Fe_4,-0.18077847212329234
Fe_5,-0.2184709340413272
Fe_6,-0.25712512926828923
Cd_1,0.005563854565488843
Cd_2,0.008940245701617939
Cd_3,0.007728995802249572
Cd_4,0.005243145831216637
Cd_5,-0.0007549735309842065
Cd_6,0.002180932488364882
Zn_1,0.012028031489948302
Zn_2,0.01667134224456461
Zn_3,0.01729507647173981
Zn_4,0.012552778046608416
Zn_5,0.0014016190041441932
Zn_6,-0.022698267450610148
Cu_1,0.002419512176467459
Cu_2,0.00895080335918547
Cu_3,0.019826521673327338
Cu_4,0.02537293188482841
Cu_5,0.026226942209024492
Cu_6,0.029855037712035144
Pb_1,0.010770401196435063
Pb_2,0.022102902741274102
Pb_3,0.041115685492816106
Pb_4,0.06465065759145468
Pb_5,0.0811960055122339
Pb_6,0.09506191004356436
