,-0.16250918781609464,-0.14896675549808674,-0.13542432318007885,-0.12188189086207096,-0.10833945854406307,-0.09479702622605518,-0.08125459390804729,-0.0677121615900394,-0.05416972927203151,-0.04062729695402362,-0.027084864636015726,-0.013542432318007835,5.551115123125783e-17,0.013542432318007946,0.027084864636015837,0.04062729695402373,0.05416972927203162,0.06771216159003951,0.0812545939080474,0.09479702622605529
thresh,-0.07448337774904337,0.07448337774904337,2,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,1,1,4,3,9,31,119,653,1870,950,126,13,2,1,0,0
narL,2,0,3,3,2,2,3,4,5,5,8,27,24,9,2,1,2,1,0,0
unreg_genes,[],[],[],[],['STM4306'],['STM2528'],['cbiD' 'STM4308' 'STM4307' 'STM2529'],[],[],[],[],[],[],[],[],[],[],[],[],[]
narL_genes,['hybA' 'hybB'],[],['hybE' 'dmsC' 'hybG'],['hybC' 'hybD' 'hybF'],['dmsA' 'frdC'],['hypO' 'frdD'],['STM1498' 'frdB' 'dcuA'],['phsB' 'fdnH' 'phsC' 'ompW'],['caiF' 'fumB' 'nrfB' 'frdA' 'nirC'],['aspA' 'narI' 'STM1499' 'narH' 'nrfD'],['dcuB' 'pflB' 'STM1789' 'STM1496' 'nrfC' 'dpiA' 'narJ' 'fdnI'],"['citE' 'citC' 'cysG' 'torA' 'adhE' 'STM1786' 'nuoE' 'moeB' 'citD' 'citF'
 'nrfA' 'napC' 'ynfI' 'dpiB' 'ccmG' 'nuoF' 'nuoB' 'ccmC' 'nuoG' 'STM1787'
 'moeA' 'citX' 'nuoA' 'nuoC' 'citG' 'poxB' 'torD']","['napH' 'cydC' 'ygbD' 'dcuS' 'nirD' 'nrfG' 'nuoH' 'dcuR' 'napB' 'torC'
 'ccmF' 'STM2840' 'nuoI' 'ytfE' 'yoaG' 'STM1791' 'ubiC' 'STM1788' 'ccmB'
 'nuoL' 'narG' 'hcp' 'ubiA' 'nuoN']",['nuoJ' 'cydD' 'nuoM' 'ogt' 'STM1790' 'ccmE' 'hcr' 'nikR' 'napG'],['napA' 'focA'],['nirB'],['narK' 'napF'],['napD'],[],[]
