,ybgH
Cr_1,0.004079926482176667
Cr_2,0.00882454522020487
Cr_3,0.01589803462860794
Cr_4,0.02159053177497673
Cr_5,0.030242651066207264
Cr_6,0.036981840678970666
Fe_1,0.0015488597909465599
Fe_2,-0.008672148961976642
Fe_3,-0.016002825871143194
Fe_4,-0.026735965085466117
Fe_5,-0.026572862594091088
Fe_6,-0.022361346658252956
Cd_1,0.003586498444185089
Cd_2,0.01086319196071917
Cd_3,0.017992241204321368
Cd_4,0.02462860683527611
Cd_5,0.023263955253237042
Cd_6,0.030786231720967186
Zn_1,-0.005430574292477508
Zn_2,-0.010813075826420493
Zn_3,-0.009985886241450102
Zn_4,-0.011868366953876877
Zn_5,-0.014520999653556743
Zn_6,-0.02177968792482887
Cu_1,0.004004402871604058
Cu_2,0.009596432444997862
Cu_3,0.015573039015051266
Cu_4,0.02326708183719807
Cu_5,0.02805170112600297
Cu_6,0.03484010456647778
Pb_1,0.001422295968834256
Pb_2,-0.012503714247479071
Pb_3,-0.017321413689573947
Pb_4,-0.016838018998270848
Pb_5,-0.016006456139536777
Pb_6,-0.005606254395415247
