,A,GlaR,RpoS,Crp,hns,Lrp
R2,,0.455712875583425,0.19519142556289892,0.046786757561327774,0.011594379294418977,0.0
xmin,,-4.2343610569,-8.919357295,-9.852476477,-11.2828757996,-10.1521245118
xmid,,-1.4257260577875823,-1.8425148875891038,,-3.427002906054531,
xmax,,3.7546322699,4.1241387708,2.5388323397,2.8974495703,2.3501929199
ystart,,-4.881898909079798,-4.426143242137093,8.155850766367815,1.3557847038430886,-0.5040359457120968
yend,,10.88753620121399,6.778915407558394,-2.821379780068088,-2.051783621130168,-0.5040359457120968
SRX1125282,0.3303431329,0.1851769295,0.12389400360000001,0.0344951212,-0.0832222629,0.1917489778
SRX1125283,0.8562061624,-0.202423979,0.0917269352,0.1435731223,-0.0215977273,-0.0036410337
SRX1125284,1.2402252891,-0.2542270431,0.2668871882,0.2534372822,0.014475031800000001,0.0638516938
SRX1125285,1.7497953797,-0.1898275896,0.6346371772,0.283920339,-0.069698208,0.1884466547
SRX1125286,2.1543598037,-0.1431082427,0.7311205703,0.3175329239,-0.28960489710000004,0.2606995247
SRX1125287,2.294743251,-0.4447007074,0.047843636,0.17602055360000002,-0.2321548066,-0.18787669680000002
SRX1125288,-0.4011859,-0.1152296492,-0.011411859,0.005256366,-0.0482583698,-0.0850462209
SRX1125289,0.9244575222,0.32825498210000004,0.1487334191,0.2819816342,-0.2218292502,0.23201001070000002
SRX1125290,1.0227742112,0.1140158012,0.5719214457,0.2801678667,-0.0773807522,0.4624908091
SRX1125291,1.2760304788,-0.0810432112,0.7703039475,0.4762089513,-0.0678102107,0.5094912821
SRX1125292,2.2250184546,0.2847499144,0.9491057834000001,0.5370175003000001,-0.1422065635,0.42741818940000004
SRX1125293,2.8864700842,0.29365859180000004,0.7949646441,0.5086233319,0.2490992528,-0.011315053200000001
SRX1125294,0.07084276710000001,-0.0699472804,-0.1124821446,-0.039751487200000005,0.13148063270000002,-0.1067027569
SRX1125295,-0.47896530870000004,-0.1698700613,0.0485519624,0.2905320638,0.2910135497,-0.034949130700000004
SRX1125296,0.6393469116,-0.2566626204,0.2451175693,0.1859933018,0.1734109775,-0.0507207701
SRX1125297,0.5314075993,-0.0204070343,0.5595453177,0.3699621097,0.28443055370000003,0.0607301561
SRX1125298,1.4427000627,0.29688717540000004,1.0364768899,0.5483756585,0.0742654028,0.6821826714
SRX1125299,2.674222394,0.5171562294000001,0.7744984592,0.50143841,0.23033813420000002,0.1046706146
SRX5694250,-0.8976358065000001,-0.8794680063,-0.6575883396000001,-0.4516798918,-1.3295713452,-0.07686038270000001
SRX5694251,-1.2381793119,0.1076049626,-0.41439528130000003,-1.8893970692000002,0.6661338201,-0.4184515133
SRX5694252,-3.4406226289,-4.2343610569,-1.5267586985000001,-0.1701238306,-1.732107911,-0.0463286922
SRX5694253,-0.0243262308,0.0188957314,0.013532579400000001,0.1340371706,0.16751679260000002,0.291528555
SRX5694254,2.6044872847000002,1.1701662832,-0.4507050045,-0.8477189713000001,-0.3087090213,0.5837445491000001
SRX5694255,-0.1734096057,-2.3426808172999998,-1.3699185348,0.1307715067,-1.4290721084,-0.5783668051
SRX5694256,-1.3812540100000001,-0.6945073498000001,0.0290375594,-0.2340068764,-0.1462527268,-0.3544948952
SRX5694257,-0.7993247486,-0.5604234418,-0.18024768900000002,-0.33700626310000004,-0.641073463,-0.0169901278
SRX5694258,0.7056036533000001,-0.1940357853,-0.34416743510000003,-0.2857852433,-0.0725217448,-0.19775123900000002
SRX5694259,-1.4676292797000001,0.1552757561,-0.4766743304,-2.9247054987,0.4503702694,-1.3513809867
SRX5694260,0.6524431114,0.11414646240000001,0.2482267076,0.0899715865,0.1739432252,-0.0936446555
SRX5694261,-2.2357536427999998,-1.1577820263,0.022944085000000003,-1.6070723407,-0.6767263614,-0.29484850100000004
SRX5694262,-1.1371501889,-1.1048178335,-1.1664088354,-0.5390842036,-1.031702481,0.0541041576
SRX5694263,0.9849594711,-0.3988636038,0.2455560166,-0.0980165268,0.14700628870000002,-0.0762063272
SRX5694264,-3.1481543442,-0.48620088250000004,-0.7270261651000001,0.2016373309,-0.41701238430000004,-0.5672398331
SRX5694265,-1.6385359431,-0.25168624640000004,0.1246632279,-0.2490351859,-0.1614027818,0.053708981100000004
