,ybhC
Cr_1,0.0021730483852686945
Cr_2,-0.00405776918901585
Cr_3,-0.012617280865354108
Cr_4,-0.010581930099880208
Cr_5,-0.0038890519362946743
Cr_6,-0.0033351040729999275
Fe_1,-0.04823884914166695
Fe_2,-0.09324794170339
Fe_3,-0.10345064228425012
Fe_4,-0.11919606582457162
Fe_5,-0.12339892508558585
Fe_6,-0.12852408926232298
Cd_1,0.004958682563484085
Cd_2,0.007365617434011339
Cd_3,0.006603653613418493
Cd_4,0.00935799570033673
Cd_5,0.008982801190759782
Cd_6,0.018479985102628757
Zn_1,0.19707893279097605
Zn_2,0.4625025784480946
Zn_3,0.6539635766062504
Zn_4,0.7634666502928287
Zn_5,0.8256089852895386
Zn_6,0.8424879198879904
Cu_1,0.008964546152759127
Cu_2,0.02087719727048345
Cu_3,0.02409076898836967
Cu_4,0.033806182663962535
Cu_5,0.04381536894555665
Cu_6,0.05417670825655625
Pb_1,0.015053677336172572
Pb_2,0.02393437525110877
Pb_3,0.031347273223030825
Pb_4,0.04689841137495938
Pb_5,0.050967734444507334
Pb_6,0.06559931751519442
