,plsX
Cr_1,-0.02549379725281035
Cr_2,0.026137393356196872
Cr_3,0.07728733258060408
Cr_4,0.08582700549215998
Cr_5,0.05411313595766425
Cr_6,0.02710070159467711
Fe_1,-0.019929230703899847
Fe_2,-0.033462894594206774
Fe_3,-0.03803496676157901
Fe_4,-0.03744885318852451
Fe_5,-0.028273607932400455
Fe_6,-0.017966914672476266
Cd_1,-0.001406700436998129
Cd_2,-0.007367570521246074
Cd_3,-0.00045211899017885606
Cd_4,-0.010073947559140999
Cd_5,-0.01278437611414526
Cd_6,-0.015482275197722129
Zn_1,-0.014518129520998532
Zn_2,-0.013117443663607184
Zn_3,-0.03231049862837613
Zn_4,-0.01684091538122609
Zn_5,0.012960514243029478
Zn_6,0.04040001656231571
Cu_1,0.009139006887703091
Cu_2,0.014174497958984062
Cu_3,0.02935982973766836
Cu_4,0.043011175247646014
Cu_5,0.05077610960599007
Cu_6,0.056063759300949284
Pb_1,-0.006611135209057813
Pb_2,-0.014722820853021804
Pb_3,-0.009715003584803322
Pb_4,-0.00405289457853116
Pb_5,-0.0015008443191340925
Pb_6,0.0002589443268140376
