,ecfI
Cr_1,0.0011662929437491866
Cr_2,-0.001417352322568201
Cr_3,-0.0031119712743322018
Cr_4,-0.0065978511511354705
Cr_5,-0.01130064139838876
Cr_6,-0.007405808983795745
Fe_1,-0.01620012757611041
Fe_2,-0.04332928539997195
Fe_3,-0.07829847851130743
Fe_4,-0.12576730564151614
Fe_5,-0.1708131829296124
Fe_6,-0.21166648150399966
Cd_1,0.0013240105038871029
Cd_2,0.01129745155746078
Cd_3,0.014941044537581431
Cd_4,0.015381283532283484
Cd_5,0.01422152940150379
Cd_6,0.02186499091163634
Zn_1,0.012627151174845712
Zn_2,0.04531223193812596
Zn_3,0.1004954055597206
Zn_4,0.15431966382050807
Zn_5,0.17521624413541093
Zn_6,0.18242126439746265
Cu_1,0.004974869923707599
Cu_2,0.010538509673960856
Cu_3,0.020809486678417314
Cu_4,0.028883862631374463
Cu_5,0.028153864012999137
Cu_6,0.02770881239691471
Pb_1,-0.00038617337108173095
Pb_2,0.0058147890947721605
Pb_3,0.004099160821871578
Pb_4,0.013299879298702992
Pb_5,0.01854101307177792
Pb_6,0.02757131226272535
