,yfcG
Cr_1,-0.004250646297473196
Cr_2,-0.006434471821590761
Cr_3,-0.00022331807498067872
Cr_4,0.01042937394398222
Cr_5,0.018528311547881468
Cr_6,0.03140112543392764
Fe_1,-0.048783424039084713
Fe_2,-0.13083930595206356
Fe_3,-0.2288113279003827
Fe_4,-0.3437360669416125
Fe_5,-0.4377222651016246
Fe_6,-0.5028101828874371
Cd_1,-0.00017304912564524442
Cd_2,0.0023953252104887304
Cd_3,0.005397855519889239
Cd_4,0.006184117234690556
Cd_5,0.005066927202745257
Cd_6,0.00942402464741567
Zn_1,1.4881904971150166
Zn_2,0.04602624404827232
Zn_3,-0.1260309158152472
Zn_4,-0.1777202781489451
Zn_5,-0.1471599081492562
Zn_6,-0.17675383545733298
Cu_1,0.0031949727082539307
Cu_2,0.011274437069618884
Cu_3,0.012653064472230965
Cu_4,0.01410287984656279
Cu_5,0.015238617775126228
Cu_6,0.018998701518329088
Pb_1,0.006152764920828322
Pb_2,0.013879529842697087
Pb_3,0.0282622854848482
Pb_4,0.0459490226926352
Pb_5,0.06061887139792994
Pb_6,0.07722915984546218
