,rplL
Cr_1,0.0046998315650258644
Cr_2,0.015553352759908663
Cr_3,0.024541231162225282
Cr_4,0.029965094257713782
Cr_5,0.03126112644721448
Cr_6,0.03515647051345985
Fe_1,-0.009582875494478749
Fe_2,-0.009565378070960804
Fe_3,0.019934474125814016
Fe_4,0.059527580062479137
Fe_5,0.10414058328086524
Fe_6,0.14714286881771474
Cd_1,6.776324633432789e-05
Cd_2,0.007323197325540314
Cd_3,0.013711441758803724
Cd_4,0.021829350602340397
Cd_5,0.02259107184702385
Cd_6,0.02658590006920375
Zn_1,-0.006173046518621186
Zn_2,-0.005055862097101068
Zn_3,0.016577499634738594
Zn_4,0.04498260632293951
Zn_5,0.05360125276157659
Zn_6,0.041374803409333936
Cu_1,0.007947177136204443
Cu_2,0.010336050158197949
Cu_3,0.020659276895285118
Cu_4,0.02794531872298271
Cu_5,0.024577450285267324
Cu_6,0.02929893945595141
Pb_1,0.012839209649565187
Pb_2,0.03235592540985936
Pb_3,0.05143669680402668
Pb_4,0.06593709169968306
Pb_5,0.08096058976827941
Pb_6,0.09524170155219687
