,Value,list
TF,AtuR/LaoR,
reg_genes,0,[]
comp_genes,21,"['lldD' 'laoR' 'lldP' 'PA4772' 'PA4364' 'PA1535' 'PA4365' 'esrC' 'PA4435'
 'desB' 'PA0534']"
both_genes,0,"['atuA' 'atuB' 'atuE' 'PA0366' 'atuF' 'PA0364' 'atuG' 'PA0365' 'atuC'
 'atuD']"
reg_genes2,10,
comp_genes2,0,
both_genes2,0,
