,name,x,y,cog,color,link
meta,start,0.105060007,,,,
LAC_H_00012,LAC_H_00012,0,0.014451201,No COG category,#40e0d0,
LAC_H_00018,LAC_H_00018,0,0.022564885,No COG category,#40e0d0,
LAC_H_00201,LAC_H_00201,0,0.0033786140000000003,No COG category,#40e0d0,
LAC_H_00210,LAC_H_00210,0,-0.009464977000000001,No COG category,#40e0d0,
LAC_H_00215,LAC_H_00215,0,-0.011039857,No COG category,#40e0d0,
LAC_H_00216,LAC_H_00216,0,-0.013457614000000001,No COG category,#40e0d0,
LAC_H_00237,LAC_H_00237,0,-0.0007238520000000001,No COG category,#40e0d0,
LAC_H_00238,LAC_H_00238,0,-0.032883688,No COG category,#40e0d0,
LAC_H_00303,LAC_H_00303,0,-0.015020607000000002,No COG category,#40e0d0,
LAC_H_00304,LAC_H_00304,0,0.00161704,No COG category,#40e0d0,
LAC_H_00448,LAC_H_00448,0,0.007216448,No COG category,#40e0d0,
LAC_H_00507,LAC_H_00507,0,-0.005251233,No COG category,#40e0d0,
LAC_H_00563,LAC_H_00563,0,0.00922825,No COG category,#40e0d0,
LAC_H_00606,LAC_H_00606,0,0.003657594,No COG category,#40e0d0,
LAC_H_00645,LAC_H_00645,0,0.0012974330000000002,No COG category,#40e0d0,
LAC_H_01013,LAC_H_01013,0,-0.004031499,No COG category,#40e0d0,
LAC_H_01308,LAC_H_01308,0,0.010442257,No COG category,#40e0d0,
LAC_H_01365,LAC_H_01365,0,0.006982875,No COG category,#40e0d0,
LAC_H_01559,LAC_H_01559,0,0.01108288,No COG category,#40e0d0,
LAC_H_01570,LAC_H_01570,0,-0.0034814280000000004,No COG category,#40e0d0,
LAC_H_01575,LAC_H_01575,0,-0.015459335000000001,No COG category,#40e0d0,
LAC_H_01687,LAC_H_01687,0,0.0043834550000000005,No COG category,#40e0d0,
LAC_H_01688,LAC_H_01688,0,-0.010571307,No COG category,#40e0d0,
LAC_H_01807,LAC_H_01807,0,0.034589957000000005,No COG category,#40e0d0,
LAC_H_01829,LAC_H_01829,0,-0.018816578,No COG category,#40e0d0,
LAC_H_01830,LAC_H_01830,0,-0.019257757,No COG category,#40e0d0,
LAC_H_01836,LAC_H_01836,0,0.008936809,No COG category,#40e0d0,
LAC_H_01887,LAC_H_01887,0,-0.001015249,No COG category,#40e0d0,
LAC_H_01907,LAC_H_01907,0,-0.017669428,No COG category,#40e0d0,
LAC_H_01918,LAC_H_01918,0,-0.016166108000000002,No COG category,#40e0d0,
LAC_H_01926,LAC_H_01926,0,0.001913842,No COG category,#40e0d0,
LAC_H_01941,LAC_H_01941,0,-0.020338779,No COG category,#40e0d0,
LAC_H_01958,LAC_H_01958,0,-0.005424693,No COG category,#40e0d0,
LAC_H_02127,LAC_H_02127,0,0.021049061,No COG category,#40e0d0,
LAC_H_02204,LAC_H_02204,0,0.018903894,No COG category,#40e0d0,
LAC_H_02205,LAC_H_02205,0,0.007925055,No COG category,#40e0d0,
LAC_H_02206,LAC_H_02206,0,-0.017491233000000002,No COG category,#40e0d0,
LAC_H_02207,LAC_H_02207,0,0.012437392,No COG category,#40e0d0,
LAC_H_02216,LAC_H_02216,0,0.006800294,No COG category,#40e0d0,
LAC_H_02217,LAC_H_02217,0,0.007713687,No COG category,#40e0d0,
LAC_H_02499,LAC_H_02499,0,-0.008622999000000001,No COG category,#40e0d0,
LAC_H_02500,LAC_H_02500,0,-0.005965934,No COG category,#40e0d0,
LAC_H_02514,LAC_H_02514,0,0.011811248,No COG category,#40e0d0,
LAC_H_02515,LAC_H_02515,0,-0.006813095000000001,No COG category,#40e0d0,
LAC_H_02543,LAC_H_02543,0,0.00456059,No COG category,#40e0d0,
LAC_H_02544,LAC_H_02544,0,0.007087111,No COG category,#40e0d0,
LAC_H_02591,LAC_H_02591,0,-0.003979275,No COG category,#40e0d0,
LAC_H_02662,LAC_H_02662,0,0.0033921800000000003,No COG category,#40e0d0,
LAC_H_02694,LAC_H_02694,0,0.00239862,No COG category,#40e0d0,
LAC_H_02703,LAC_H_02703,0,0.00232355,No COG category,#40e0d0,
LAC_H_02721,LAC_H_02721,0,0.015422384,No COG category,#40e0d0,
LAC_H_02722,LAC_H_02722,0,-0.020307793,No COG category,#40e0d0,
USA300HOU_RS00005,dnaA,543,-0.007680494,"Replication, recombination and repair",#87ceeb,
USA300HOU_RS00010,dnaN,2182,-0.002923723,"Replication, recombination and repair",#87ceeb,
USA300HOU_RS00015,yaaA,3696,-0.0043029290000000005,Function unknown,#708090,
USA300HOU_RS00020,recF,3938,-0.006248228000000001,"Replication, recombination and repair",#87ceeb,
USA300HOU_RS00025,gyrB,5060,0.0019089760000000002,"Replication, recombination and repair",#87ceeb,
USA300HOU_RS00030,gyrA,7031,0.008169102000000001,"Replication, recombination and repair",#87ceeb,
USA300HOU_RS00035,nnrD,9781,-0.007377974000000001,Carbohydrate transport and metabolism,#bfbf00,
USA300HOU_RS00040,hutH,10919,-0.011230946,Amino acid transport and metabolism,#ffc0cb,
USA300HOU_RS00045,serS,12812,0.025530169000000002,"Translation, ribosomal structure and biogenesis",#00ff00,
USA300HOU_RS00050,azlC,14748,0.014363484000000001,Amino acid transport and metabolism,#ffc0cb,
USA300HOU_RS00055,azlD,15440,0.006015323,Function unknown,#708090,
USA300HOU_RS00060,metX,16132,-0.009465443,Amino acid transport and metabolism,#ffc0cb,
USA300HOU_RS00065,USA300HOU_RS00065,17391,-0.006714175,Function unknown,#708090,
USA300HOU_RS00070,yybT,18344,0.003971325,Signal transduction mechanisms,#ff00ff,
USA300HOU_RS00075,rplI,20308,0.0010431400000000001,"Translation, ribosomal structure and biogenesis",#00ff00,
USA300HOU_RS00080,dnaB,20786,0.005365344,"Replication, recombination and repair",#87ceeb,
USA300HOU_RS00085,purA,22464,-0.011002483,Nucleotide transport and metabolism,#87cefa,
USA300HOU_RS00100,vicR,24951,-0.009163253000000001,Signal transduction mechanisms,#ff00ff,
USA300HOU_RS00105,vicK,25665,0.005850847,Signal transduction mechanisms,#ff00ff,
USA300HOU_RS00110,yycH,27484,0.009171584,Function unknown,#708090,
USA300HOU_RS00115,yycI,28819,0.006087223,Function unknown,#708090,
USA300HOU_RS00120,vicX,29997,-0.019724723,Function unknown,#708090,
USA300HOU_RS00125,sasH,31025,0.008018897,Nucleotide transport and metabolism,#87cefa,
USA300HOU_RS00130,rlmH,33711,-0.004711695,Function unknown,#708090,
USA300HOU_RS00135,orf028,34512,-0.005993855,No COG category,#40e0d0,
USA300HOU_RS00140,tnp2,35876,0.004446944,"Replication, recombination and repair",#87ceeb,
USA300HOU_RS00150,ugpQ,37812,-0.006470897000000001,Energy production and conversion,#90ee90,
USA300HOU_RS00155,pg15,38652,-0.007574265,Lipid transport and metabolism,#8b4513,
USA300HOU_RS00160,pbpC,39126,-0.0052589030000000005,Cell wall/membrane/envelope biogenesis,#c71585,
USA300HOU_RS00165,blaR,41232,-0.012428168000000002,Defense mechanisms,#d3d3d3,
USA300HOU_RS00170,hsdR,42190,-0.020729411,Defense mechanisms,#d3d3d3,
USA300HOU_RS00175,USA300HOU_RS00175,42460,0.008622764,No COG category,#40e0d0,
USA300HOU_RS00180,ccU,44100,0.021985682000000003,Function unknown,#708090,
USA300HOU_RS00185,orf010,44621,0.006121182,Function unknown,#708090,
USA300HOU_RS00190,USA300HOU_RS00190,45019,0.020561589,No COG category,#40e0d0,
USA300HOU_RS00195,ccrB,45891,-0.011325321000000001,"Replication, recombination and repair",#87ceeb,
USA300HOU_RS00200,ccrA,47541,0.00568997,"Replication, recombination and repair",#87ceeb,
USA300HOU_RS00205,ccH,49124,0.012110329000000001,"Replication, recombination and repair",#87ceeb,
USA300HOU_RS00210,USA300HOU_RS00210,50911,0.019313037,No COG category,#40e0d0,
USA300HOU_RS00215,USA300HOU_RS00215,51340,0.004487866,No COG category,#40e0d0,
USA300HOU_RS00220,USA300HOU_RS00220,53062,-0.012496955,Transcription,#1e90ff,
USA300HOU_RS00230,USA300HOU_RS00230,54925,0.00029731,No COG category,#40e0d0,
USA300HOU_RS00235,mll7993,56433,-0.0226432,Defense mechanisms,#d3d3d3,
USA300HOU_RS00240,USA300HOU_RS00240,56933,-0.015199139,No COG category,#40e0d0,
USA300HOU_RS00245,USA300HOU_RS00245,59042,-0.004952759,Defense mechanisms,#d3d3d3,
USA300HOU_RS00250,USA300HOU_RS00250,60104,0.00621702,No COG category,#40e0d0,
USA300HOU_RS00255,USA300HOU_RS00255,60387,-0.015073514000000001,No COG category,#40e0d0,
USA300HOU_RS00260,USA300HOU_RS00260,60793,0.002654688,No COG category,#40e0d0,
USA300HOU_RS00265,USA300HOU_RS00265,61682,-0.010921904000000001,No COG category,#40e0d0,
USA300HOU_RS00270,USA300HOU_RS00270,63045,0.009220899999999999,Amino acid transport and metabolism,#ffc0cb,
USA300HOU_RS00275,adhC,64040,-0.021831487,Energy production and conversion,#90ee90,
USA300HOU_RS00280,USA300HOU_RS00280,65422,0.016855093,No COG category,#40e0d0,
USA300HOU_RS00285,ccU,65660,0.008045858000000001,Function unknown,#708090,
USA300HOU_RS00290,orf010,66179,0.051202361,Function unknown,#708090,
USA300HOU_RS00295,USA300HOU_RS00295,66577,-0.013519961,No COG category,#40e0d0,
USA300HOU_RS00300,USA300HOU_RS00300,67735,0.028277742,No COG category,#40e0d0,
USA300HOU_RS00305,USA300HOU_RS00305,68835,0.011418977,Amino acid transport and metabolism,#ffc0cb,
USA300HOU_RS00310,arcb1,69784,0.0021022750000000002,Amino acid transport and metabolism,#ffc0cb,
USA300HOU_RS00315,USA300HOU_RS00315,70820,-0.018407128000000002,Transcription,#1e90ff,
USA300HOU_RS00320,arcD,71551,0.003190224,Amino acid transport and metabolism,#ffc0cb,
USA300HOU_RS00325,arcA,73058,0.005210884000000001,Amino acid transport and metabolism,#ffc0cb,
USA300HOU_RS00330,USA300HOU_RS00330,74562,-0.014726228000000001,Transcription,#1e90ff,
