locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Rex,link
USA300HOU_RS01245,0.364706652,ldH,L-lactate dehydrogenase,Energy production and conversion,ldH,Rex,True,https://aureowiki.med.uni-greifswald.de/SAUPAN001107000
USA300HOU_RS01620,0.24514660900000002,USA300HOU_RS01620,formate/nitrite transporter,Inorganic ion transport and metabolism,,Rex,True,https://aureowiki.med.uni-greifswald.de/SAUPAN001223000
USA300HOU_RS13450,0.21808386500000002,USA300HOU_RS13450,hypothetical protein,No COG category,,Rex,True,https://aureowiki.med.uni-greifswald.de/SAUPAN006063000
USA300HOU_RS12805,0.16612959900000002,lctP,L-lactate permease,Energy production and conversion,lctP,Rex,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005878000
USA300HOU_RS00955,0.163586657,USA300HOU_RS00955,hypothetical protein,Function unknown,,GraS,False,https://aureowiki.med.uni-greifswald.de/SAUPAN001020000
USA300HOU_RS12980,0.15771247900000002,cbiX,cobalamin biosynthesis protein CbiX,Coenzyme transport and metabolism,cbiX,"Rex,NreC",True,https://aureowiki.med.uni-greifswald.de/SAUPAN005933000
USA300HOU_RS01150,0.14800565100000002,pflB,formate acetyltransferase,Energy production and conversion,"pflB,pflA","Rex,CcpA",True,https://aureowiki.med.uni-greifswald.de/SAUPAN001082000
USA300HOU_RS07360,0.14542064600000001,alD,alanine dehydrogenase,Amino acid transport and metabolism,"ykbA,ilvA,alD",Rex,True,https://aureowiki.med.uni-greifswald.de/SAUPAN003893000
USA300HOU_RS03215,0.10983036,adhP,zinc-dependent alcohol dehydrogenase,Energy production and conversion,adhP,Rex,True,https://aureowiki.med.uni-greifswald.de/SAUPAN002470000
