,A,Rex
R2,,0.05514719982368055
xmin,,7.4590185128
xmid,,
xmax,,9.863403795
ystart,,9.099405655660515
yend,,2.7507663737559653
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,19.04614579,8.960023811
USA300_LAC_U01-Set001_CAMHB_Control_1,0.057569933000000004,9.5562338039
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,1.4096519060000001,9.693203448
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,0.6951073999999999,9.7005627001
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,1.276498426,9.6596274282
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,18.36429075,8.9717084592
USA300_LAC_U01-Set001_CAMHB_Control_2,-0.057569933000000004,9.5279314062
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,1.149307562,9.6035344765
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,1.355439768,9.6088535746
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,0.5193736640000001,9.5097250733
USA300_TCH1516_U01-Set000_CAMHB_Control_1,-0.25763814700000004,8.0368164453
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,0.26105578100000004,8.4280021268
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,-0.908469171,8.4319637225
USA300_LAC_U01-Set001_R10LB_PreCulture_1,3.724829881,9.7289515588
USA300_LAC_U01-Set001_R10LB_PreCulture_2,3.306551291,9.6322242515
USA300_LAC_U01-Set001_R10LB_Control_1,5.000243823,9.5577554799
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,5.555583646,9.4885834077
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,5.799079371,9.4175198403
USA300_LAC_U01-Set001_R10LB_Control_2,5.005267501,9.4738461312
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,4.6163191,9.4293939123
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,5.696624382,9.4799576185
USA300_TCH1516_U01-Set000_R10LB_Control_1,0.427011283,9.6765827521
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,-0.08721807100000001,9.5145055954
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,-0.08732801800000001,9.6547809086
USA300_TCH1516_U01-Set000_R10LB_Control_2,-0.081159804,9.7277938582
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,-0.48425977800000003,9.512495489
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,-0.6584909910000001,9.6434880177
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,6.080143096,9.3575419424
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,7.935799153,9.4003057142
USA300_TCH1516_U01-Set000_CAMHB_Control_2,0.25763814700000004,8.1645145575
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,-0.108080408,8.2907984986
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,0.051185419,8.35022876
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,-2.3639715580000003,8.9767674242
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,-1.662069626,8.8485047046
USA300_LAC_U01-Set004_CAMHB_Control_1,0.8279320760000001,9.6691907319
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,1.001118551,9.8017115888
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,1.602392675,9.8055431102
