,A,ArgR
R2,,0.2869325892060556
xmin,,-2.1442543865
xmid,,
xmax,,1.3668425965
ystart,,-13.344465073455492
yend,,2.2763989700022353
ecoli_00001,-0.1304174959,0.050759305500000004
ecoli_00002,0.1304174959,-0.050759305500000004
ecoli_00003,-8.0511852851,-0.3664174665
ecoli_00004,-10.4557978513,-0.4930214825
ecoli_00005,2.3252137836,0.0540034625
ecoli_00006,1.8300019704000001,-0.046189019500000005
ecoli_00007,-6.8801874325,-0.3382780745
ecoli_00008,-5.6611540091,0.0907101325
ecoli_00009,-0.5065547205,0.1509924665
ecoli_00010,-0.5206889864,0.0961643685
ecoli_00011,-1.9402103278,0.0039948195
ecoli_00012,-1.8916807388999999,-0.1448836105
ecoli_00014,-2.8072800014,-0.2302637385
ecoli_00015,-1.7181924389,-0.2707129105
ecoli_00016,-1.9334770099,-0.0523427785
ecoli_00017,-1.9155666641,0.0042857445
ecoli_00018,-1.7249819866,-0.08436811050000001
ecoli_00019,-15.3043134495,-2.0241110905
ecoli_00020,-15.151664805,-1.9649067465
ecoli_00021,-15.0908196895,-2.1442543865
ecoli_00022,-15.0957535225,-1.9937029845
ecoli_00023,-15.2315760651,-1.6942918224999999
ecoli_00024,-15.1178719307,-1.4974323185
ecoli_00025,-14.5643998018,-1.5551114945
ecoli_00026,-14.8824805148,-1.7893038835000001
ecoli_00027,-2.494665818,-0.2651524685
ecoli_00028,-2.5016260437,-0.2111874825
ecoli_00029,-2.7035784923,-0.6201035685
ecoli_00030,-3.1358077602,-0.6315113055
ecoli_00031,-11.5457717288,-0.2881005855
ecoli_00032,-11.2387681957,-0.3745141065
ecoli_00033,-4.0529631945,-0.3229435805
ecoli_00034,-3.6819036368,-0.1705042545
ecoli_00035,0.8363096165,0.09705045550000001
ecoli_00036,1.0876559149,-0.028544839500000002
ecoli_00037,-8.8193226529,-0.4360207045
ecoli_00038,-9.3008758465,-0.2398506525
ecoli_00039,-0.21316183260000002,0.0872939115
ecoli_00040,0.0255178964,0.1809499735
ecoli_00041,-11.4243450443,-0.8139267645
ecoli_00042,-4.3723549492,-0.2490448855
ecoli_00043,0.2081843995,0.4736725785
ecoli_00044,0.4944544853,0.5979141935
ecoli_00045,2.1161774657,0.4671901645
ecoli_00046,2.1652299601,0.35676406250000003
ecoli_00047,-0.8997218777,0.3498552795
ecoli_00048,-1.0163905904,0.4320707465
ecoli_00049,-2.7428209743,0.1180134825
ecoli_00050,-1.6346448757,0.0777583975
ecoli_00051,-1.4034269514,-0.34319200650000004
ecoli_00052,0.3218273259,0.1669379905
ecoli_00053,0.19624464160000002,0.20684182550000002
ecoli_00054,-2.3724095577,0.8390331405
ecoli_00055,-1.7776104081000002,1.0767904665
ecoli_00056,-2.9352743524,-0.17459857750000002
