,-0.0306386263,0.0,0.0306386263,0.0612772526,0.0919158789,0.1225545052,0.1531931315,0.1838317578,0.2144703841,0.24510901040000002,0.2757476367,0.30638626299999994,0.33702488929999996,0.3676635156,0.3983021419,0.42894076819999993,0.45957939449999996,0.4902180208,0.5208566471,0.5514952733999999
thresh,-0.04595793945,0.04595793945,2,,,,,,,,,,,,,,,,,
unreg,58,4043,48,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArgR,5,25,9,7,3,2,0,0,2,1,3,2,0,1,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],['dtpD' 'xynR'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ArgR_genes,['yffB' 'astC' 'astA' 'dps' 'hchA'],"['astD' 'stpA' 'astE' 'astB' 'ykgA' 'aroP' 'pfkB' 'rimP' 'pnp' 'infB'
 'waaA' 'nusA' 'truB' 'ftsZ' 'dacC' 'yaaU' 'rbfA' 'mukE' 'rpsO' 'puuB'
 'aroK' 'pyrL' 'gltF' 'gltP' 'gltD']",['gltB' 'cvpA' 'lrp' 'lysO' 'yfcC' 'yraQ' 'ydgI' 'potF' 'argR'],['yhcC' 'artM' 'hisP' 'artQ' 'artP' 'artI' 'hisM'],['hisJ' 'hisQ' 'carB'],['carA' 'argE'],[],[],['argD' 'argH'],['argG'],['argB' 'artJ' 'argA'],['argC' 'argF'],[],['argI'],[],[],[],[],[],[]
