sample,BSU_misc_RNA_7
LBexp_1,13.1218
LBexp_2,12.8787
LBexp_3,12.278
LBtran_1,12.5946
LBtran_2,12.1294
LBtran_3,12.0434
LBstat_1,11.8967
LBstat_2,11.9575
LBstat_3,11.4665
LBGexp_1,13.1533
LBGexp_2,13.7449
LBGexp_3,13.1945
LBGtran_2,11.8139
LBGtran_3,12.8705
LBGstat_1,14.9844
LBGstat_2,13.4479
LBGstat_3,12.0409
S0_1,11.4583
S0_2,11.6521
S0_3,11.4337
S1_1,12.226
S1_2,11.9657
S1_3,12.5711
S2_1,11.7419
S2_2,11.7665
S2_3,11.3507
S3_1,11.8574
S3_2,12.7728
S4_1,13.0846
S4_2,12.7476
S4_3,13.0724
S5_1,12.6537
S5_2,12.6125
S5_3,13.2768
S6_1,12.267
S6_2,9.5176
S6_3,12.5406
S6/t_1,12.3435
S6/t_2,9.1199
S6_4,12.8498
S6_5,13.7175
S6_6,13.8199
S7_4,13.4619
S7_5,12.4021
S7_6,12.9563
S8_4,12.6233
S8_5,10.6681
G135_1,12.4725
G135_3,10.2793
G150_1,12.1927
G150_2,12.7022
G150_3,12.084
G180_1,11.9441
G180_2,12.4272
G180_3,11.4661
C30_1,11.9397
C30_2,12.5712
C90_1,11.6645
C90_2,11.9176
BI_1,12.214
BI_2,12.6502
BC_2,12.8168
BC/t_1,12.6107
BC/t_2,12.9953
BC_1,12.3152
Sw_1,12.3021
Sw_2,12.371
BT_1,13.5331
BT_2,13.0328
B36_1,14.4255
B36_2,13.9293
B60_1,15.0935
B60_2,15.191
M9exp_1,11.8045
M9exp_2,11.308
M9exp_3,10.9378
M9tran_1,11.1497
M9tran_2,10.8455
M9tran_3,11.2442
M9stat_1,12.0069
M9stat_2,11.2146
M9stat_3,11.1089
M+G_1,10.1817
M+G_2,11.1195
M+G_3,11.1132
Glu_1,12.0212
Glu_2,11.7107
Glu_3,11.9147
Fru_1,12.0663
Fru_2,11.578
Fru_3,11.2153
Mal_1,9.614
Mal_2,10.2074
Mal_3,10.4876
G+S_2,11.3872
G+S_3,11.9234
Pyr_1,10.6309
Pyr_2,11.4727
Pyr_3,11.0268
Gly_1,10.8624
Gly_2,11.5104
Gly_3,9.9565
Glucon_1,10.9994
Glucon_2,11.4222
Glucon_3,10.3787
aero_1,12.4594
aero_2,10.5751
aero_3,11.5916
nit_1,12.2185
nit_2,11.7504
nit_3,11.7645
ferm_1,11.8687
ferm_2,11.6962
ferm_3,12.2943
T-5.40H_1,12.3276
T-4.40H_1,11.9169
T-3.40H_1,11.942
T-2.40H_1,11.4264
T-1.40H_1,12.8553
