,yohD
Cr_1,-0.007205974437792003
Cr_2,0.00035031072000404537
Cr_3,0.010338373836306088
Cr_4,0.01619623737302019
Cr_5,0.020175011026232575
Cr_6,0.021825544145826586
Fe_1,-0.042253977051189495
Fe_2,-0.07410103874834884
Fe_3,-0.09844123693729083
Fe_4,-0.11653937992323568
Fe_5,-0.12809349188797775
Fe_6,-0.13593744272223468
Cd_1,-0.0023275228638986014
Cd_2,-0.0009020901161493904
Cd_3,0.001038805475994194
Cd_4,0.004604235371169428
Cd_5,0.00724571715009013
Cd_6,0.016540525825077597
Zn_1,0.003933233585106241
Zn_2,0.015921651132320417
Zn_3,0.026724479853833562
Zn_4,0.033116611680244615
Zn_5,0.034195865049646716
Zn_6,0.03694350584952374
Cu_1,0.000499254563039158
Cu_2,0.007215107512118248
Cu_3,0.018065902525982912
Cu_4,0.035538613386589334
Cu_5,0.054979803350913264
Cu_6,0.07745768543116027
Pb_1,0.00016806681874152277
Pb_2,0.0031371005667182924
Pb_3,0.009161870105733298
Pb_4,0.012575079745123905
Pb_5,0.008678247170937485
Pb_6,0.009555461637421277
