,elaB
Cr_1,-0.01727804094768919
Cr_2,-0.03449383143139203
Cr_3,-0.044449799612469136
Cr_4,-0.033540726916941536
Cr_5,-0.019665785603855956
Cr_6,-0.0076642051860865016
Fe_1,-0.004933305486419395
Fe_2,-0.02623840234995079
Fe_3,-0.05549538338816038
Fe_4,-0.08689948284517178
Fe_5,-0.11478990770965022
Fe_6,-0.1287882814138022
Cd_1,-0.002030504129109381
Cd_2,-0.005000736328745575
Cd_3,-0.007693743411474042
Cd_4,-0.009048620819846205
Cd_5,-0.013234205222879778
Cd_6,-0.008971530627996483
Zn_1,0.0049114439745992465
Zn_2,0.0006087271701587354
Zn_3,-0.003780934444981745
Zn_4,-0.0038691461083864578
Zn_5,-0.0025898076116322357
Zn_6,-0.0033246672497299146
Cu_1,-0.005645628315134156
Cu_2,-0.0071771886204713906
Cu_3,-0.008988994043726817
Cu_4,-0.012065070616125785
Cu_5,-0.011664525326014962
Cu_6,-0.01025939666232912
Pb_1,0.001851190157557648
Pb_2,0.005261516883132468
Pb_3,0.008922319959962243
Pb_4,0.013900315522487359
Pb_5,0.01981242583080407
Pb_6,0.02480054685693121
